"price","bedroom","sqft","bathroom","amenity_count","cityid","cityname","citypopulation"
4350,4,1650,1.5,3,2,"San Francisco",815201
2295,1,442,1,5,2,"San Francisco",815201
2300,0,500,1,5,2,"San Francisco",815201
3850,1,856,1,6,2,"San Francisco",815201
4250,3,1200,2,6,2,"San Francisco",815201
4195,2,1000,1,6,2,"San Francisco",815201
3250,1,601,1,5,2,"San Francisco",815201
4000,3,1500,2,5,2,"San Francisco",815201
1112,0,371,1,8,2,"San Francisco",815201
3200,1,1030,1,4,2,"San Francisco",815201
3250,2,870,1,4,2,"San Francisco",815201
2750,1,650,1,4,2,"San Francisco",815201
2495,0,460,1,5,2,"San Francisco",815201
2895,1,448,1,5,2,"San Francisco",815201
4700,3,1200,2,4,2,"San Francisco",815201
3499,2,1200,2,5,2,"San Francisco",815201
3950,3,2000,2,7,2,"San Francisco",815201
3400,3,1100,1,3,2,"San Francisco",815201
1995,1,720,1,3,2,"San Francisco",815201
3377,1,609,1,7,2,"San Francisco",815201
6195,3,1225,2,5,2,"San Francisco",815201
5995,4,1200,2,7,2,"San Francisco",815201
1800,0,2500,1,3,2,"San Francisco",815201
1112,0,371,1,8,2,"San Francisco",815201
5113,3,1125,2,6,2,"San Francisco",815201
3617,2,918,2,3,2,"San Francisco",815201
2095,0,400,1,6,2,"San Francisco",815201
2800,1,490,1,5,2,"San Francisco",815201
3500,2,850,1,0,2,"San Francisco",815201
4195,3,1200,1,6,2,"San Francisco",815201
2710,1,590,1,3,2,"San Francisco",815201
5295,3,1200,2,7,2,"San Francisco",815201
4500,3,1350,1,6,2,"San Francisco",815201
2385,2,734,1,8,2,"San Francisco",815201
3000,1,570,1,3,2,"San Francisco",815201
5295,3,1200,2,6,2,"San Francisco",815201
3396,1,603,1,6,2,"San Francisco",815201
4843,3,1050,2,3,2,"San Francisco",815201
1275,1,120,1,4,2,"San Francisco",815201
5495,3,2000,3.5,6,2,"San Francisco",815201
4995,3,883,2,5,2,"San Francisco",815201
2995,0,502,1,6,2,"San Francisco",815201
2395,1,665,1,6,2,"San Francisco",815201
4695,2,905,1,6,2,"San Francisco",815201
3300,1,550,1,5,2,"San Francisco",815201
4295,2,999,1,6,2,"San Francisco",815201
2995,1,593,1,5,2,"San Francisco",815201
6195,3,1221,1,5,2,"San Francisco",815201
2450,1,460,1,8,2,"San Francisco",815201
2269,0,441,1,3,2,"San Francisco",815201
3800,2,925,1.5,3,2,"San Francisco",815201
2800,0,460,1,7,2,"San Francisco",815201
3795,1,861,1,7,2,"San Francisco",815201
5995,3,1050,1,7,2,"San Francisco",815201
3575,1,1086,2,7,2,"San Francisco",815201
2572,1,307,1,8,2,"San Francisco",815201
4495,3,1303,1,7,2,"San Francisco",815201
3295,1,638,1,7,2,"San Francisco",815201
2732,2,1151,2,8,2,"San Francisco",815201
1895,0,441,1,7,2,"San Francisco",815201
2400,1,820,1,6,2,"San Francisco",815201
3970,2,800,1,4,2,"San Francisco",815201
3265,1,609,1,9,2,"San Francisco",815201
1400,1,250,1,3,2,"San Francisco",815201
2500,1,602,1,8,2,"San Francisco",815201
2022,0,492,1,0,2,"San Francisco",815201
3150,1,536,1,3,2,"San Francisco",815201
4400,2,1086,2,3,2,"San Francisco",815201
1900,0,650,1,0,2,"San Francisco",815201
3961,1,745,1,9,2,"San Francisco",815201
2374,1,590,1,3,2,"San Francisco",815201
5495,3,1018,2,7,2,"San Francisco",815201
3850,3,1200,2,4,2,"San Francisco",815201
4014,2,1108,2,3,2,"San Francisco",815201
4750,2,982,2,6,2,"San Francisco",815201
2120,1,478,1,8,2,"San Francisco",815201
2775,2,842,1,6,2,"San Francisco",815201
2600,0,475,1,8,2,"San Francisco",815201
2125,1,650,1,7,2,"San Francisco",815201
5900,3,1872,3,9,2,"San Francisco",815201
4845,3,1265,2,6,2,"San Francisco",815201
3535,1,790,1,6,2,"San Francisco",815201
2997,1,614,1,9,2,"San Francisco",815201
2349,0,510,1,5,2,"San Francisco",815201
3150,2,600,1,8,2,"San Francisco",815201
3470,1,502,1,7,2,"San Francisco",815201
3055,1,757,1,3,2,"San Francisco",815201
3675,1,677,1,7,2,"San Francisco",815201
2795,1,411,1,7,2,"San Francisco",815201
3942,2,898,2,9,2,"San Francisco",815201
4775,2,1001,2,7,2,"San Francisco",815201
3771,1,810,1,7,2,"San Francisco",815201
4496,2,850,2,8,2,"San Francisco",815201
2600,0,475,1,8,2,"San Francisco",815201
2789,0,429,1,3,2,"San Francisco",815201
2200,2,650,1,7,2,"San Francisco",815201
2927,0,410,1,6,2,"San Francisco",815201
4200,3,1000,2,8,2,"San Francisco",815201
7500,3,2000,1.5,4,2,"San Francisco",815201
3829,1,727,1,3,2,"San Francisco",815201
1800,1,500,1,3,2,"San Francisco",815201
3995,3,792,2,7,2,"San Francisco",815201
4500,2,1052,2,7,2,"San Francisco",815201
2045,0,350,1,5,2,"San Francisco",815201
