date,title,link,price,bedroom,sqft,neighborhood,bathroom,amenities
Jan 17,Beautiful studio with washer dryer in unit &bldg amenities,https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-studio-with-washer/7579411893.html,"$1,670",0br,,Gold Coast/River North,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
Jan 17,Awesome 1Bed with ton of building amenities like gorgeous outdoor pool,https://chicago.craigslist.org/chc/apa/d/chicago-awesome-1bed-with-ton-of/7579411682.html,"$1,675",1br,,Gold Coast,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'attached garage', 'rent period: monthly']"
Jan 17,Fabulous unit in the heart of West Loop with wd and hw floors,https://chicago.craigslist.org/chc/apa/d/chicago-fabulous-unit-in-the-heart-of/7579411564.html,"$1,850",1br,,West Loop,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
Jan 17,"Gorgeous studio with w/d in unit, 24hr doorman, gym, pool, sundeck",https://chicago.craigslist.org/chc/apa/d/chicago-gorgeous-studio-with-d-in-unit/7579411459.html,"$1,600",0br,,Fulton Market/River west,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
Jan 17,"Pet friendly 1 bed with w/d, hw floors, and lots of bldg amenities",https://chicago.craigslist.org/chc/apa/d/chicago-pet-friendly-bed-with-d-hw/7579411346.html,"$1,750",1br,,Loop,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
Jan 17,"Pet friendly unit with 24hr gym, sundeck, granite counters",https://chicago.craigslist.org/chc/apa/d/chicago-pet-friendly-unit-with-24hr-gym/7579411234.html,"$1,600",1br,,Gold Coast,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'attached garage', 'rent period: monthly']"
Jan 17,Super studio in Gold Coast allows pets and has beautiful roof deck,https://chicago.craigslist.org/chc/apa/d/chicago-super-studio-in-gold-coast/7579411145.html,"$1,375",0br,,Gold Coast,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'attached garage', 'rent period: monthly']"
Jan 17,LOGAN SQUARE - 1 BD GRDN - $600 MOVE IN CREDIT - PALMER and SPAULDING,https://chicago.craigslist.org/chc/apa/d/chicago-logan-square-bd-grdn-move-in/7579409308.html,"$1,050",1br,750,Logan Square,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'off-street parking', 'rent period: monthly']"
Jan 17,LOGAN SQUARE - STUDIO - $600 MOVE IN CREDIT - SPAULDING and BELDEN,https://chicago.craigslist.org/chc/apa/d/chicago-logan-square-studio-move-in/7579409136.html,"$1,075",0br,,Logan Square,1,"['cats are OK - purrr', 'apartment', 'w/d in unit', 'off-street parking', 'rent period: monthly']"
Jan 17,LOGAN SQUARE - 1 BD - $600 MOVE IN CREDIT - DICKENS and SAWYER,https://chicago.craigslist.org/chc/apa/d/chicago-logan-square-bd-move-in-credit/7579408406.html,"$1,250",1br,750,Logan Square,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'off-street parking', 'rent period: monthly']"
Jan 17,Large one bedroom with New Kitchen & Bath,https://chicago.craigslist.org/wcl/apa/d/maywood-large-one-bedroom-with-new/7579405772.html,"$1,200",1br,1000,west chicagoland,1,"['open house dates', 'saturday 2023-01-21', 'sunday 2023-01-22']"
Jan 17,Amazing quiet private apartment in my home,https://chicago.craigslist.org/nwi/apa/d/munster-amazing-quiet-private-apartment/7579404554.html,"$1,450",1br,1000,Munster,1,"['air conditioning', 'furnished', 'apartment', 'w/d in unit', 'no smoking', 'street parking', 'rent period: monthly']"
Jan 17,🛺WASHINGTON PARK🛺 3BR 2BA w/ DINING ROOM SECTION 8 OK $1190,https://chicago.craigslist.org/chc/apa/d/chicago-washington-park-3br-2ba-dining/7579403926.html,"$1,190",3br,1181,Washington Park,2,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'no laundry on site', 'street parking', 'rent period: monthly']"
Jan 17,🌹RIVERDALE 2BR APARTMENT NEAR 140TH & TRACY AVE CLICK HERE,https://chicago.craigslist.org/sox/apa/d/riverdale-riverdale-2br-apartment-near/7579402952.html,"$1,040",2br,792,Riverdale,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'off-street parking', 'rent period: monthly']"
Jan 17,🥨 NEAR 83RD & COTTAGE GROVE🥨 2BD w/ HEAT & DINING ROOM🥨,https://chicago.craigslist.org/chc/apa/d/chicago-near-83rd-cottage-grove-2bd/7579401548.html,$840,2br,650,Chatham,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'street parking', 'rent period: monthly']"
Jan 17,Apartment Alternative 1br Studio Woodspring Suites Elgin,https://chicago.craigslist.org/nwc/apa/d/dundee-apartment-alternative-1br-studio/7579397473.html,$999,1br,,Elgin,1,"['air conditioning', 'dogs are OK - wooof', 'furnished', 'apartment', 'laundry on site', 'no smoking', 'off-street parking', 'rent period: monthly', 'wheelchair accessible']"
Jan 17,Apartment Alternative 1br Studio Woodspring Suites Burbank-Midway,https://chicago.craigslist.org/sox/apa/d/bedford-park-apartment-alternative-1br/7579396997.html,$999,1br,,Burbank,1,"['air conditioning', 'dogs are OK - wooof', 'furnished', 'apartment', 'laundry on site', 'no smoking', 'off-street parking', 'rent period: monthly', 'wheelchair accessible']"
Jan 17,"Spacious Studio - The Loop - Gym, CTA, W/D in Unit & More!",https://chicago.craigslist.org/chc/apa/d/chicago-spacious-studio-the-loop-gym/7579372928.html,"$1,672",0br,,The Loop,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no parking', 'rent period: monthly']"
Jan 16,Beautiful 1 Bedroom in The Loop - Unbeatable Location Downtown w/ Pool,https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-bedroom-in-the-loop/7579371783.html,"$2,183",1br,,The Loop,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
Jan 16,5501 S. Cornell 02,https://chicago.craigslist.org/chc/apa/d/chicago-5501-cornell-02/7579370687.html,"$1,250",0br,450,Chicago,1,"['apartment', 'laundry on site', 'no parking']"
Jan 16,5501 S. Cornell 15,https://chicago.craigslist.org/chc/apa/d/chicago-5501-cornell-15/7579370639.html,"$1,250",0br,400,Chicago,1,"['apartment', 'laundry on site', 'no parking']"
Jan 16,The Sutherland 611,https://chicago.craigslist.org/chc/apa/d/chicago-the-sutherland-611/7579370541.html,"$1,250",0br,357,Chicago,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'carport']"
Jan 16,5501 S. Cornell 06,https://chicago.craigslist.org/chc/apa/d/chicago-5501-cornell-06/7579370476.html,"$1,250",0br,450,Chicago,1,"['apartment', 'laundry on site', 'no parking']"
Jan 16,5528-5532 S. Everett Avenue 5528-1E,https://chicago.craigslist.org/chc/apa/d/chicago-everett-avenue/7579370404.html,$975,0br,216,Chicago,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no parking']"
Jan 16,Convertible 1 Bedroom - Downtown - Rooftop Hot Tub + Movie Theatre!,https://chicago.craigslist.org/chc/apa/d/chicago-convertible-bedroom-downtown/7579369954.html,"$2,148",1br,,The Loop,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
Jan 16,"Amazing Convertible 1 Bedroom in West Loop - W/d, Rooftop Deck & Pool!",https://chicago.craigslist.org/chc/apa/d/chicago-amazing-convertible-bedroom-in/7579368834.html,"$2,126",1br,,West Loop,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
Jan 16,"Gorgeous 2 Bedroom in West Loop - Luxury Finishes, Balcony, Pool!",https://chicago.craigslist.org/chc/apa/d/chicago-gorgeous-bedroom-in-west-loop/7579367055.html,"$3,300",2br,,West Loop,2,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
Jan 16,Spacious 2 Bedroom in West Loop - Lots of Natural Light + Balcony,https://chicago.craigslist.org/chc/apa/d/chicago-spacious-bedroom-in-west-loop/7579365603.html,"$2,929",2br,,Fulton River District,2,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
Jan 16,950$ Fully renovated 2bdrm apartment,https://chicago.craigslist.org/chc/apa/d/chicago-950-fully-renovated-2bdrm/7579362791.html,$950,2br,,South Eastside Chicago,1,"['apartment', 'no laundry on site', 'no smoking', 'street parking', 'rent period: monthly']"
Jan 16,"Remodeled, light-filled, spacious 2 bed /1 bath Available Now",https://chicago.craigslist.org/chc/apa/d/chicago-remodeled-light-filled-spacious/7579357870.html,"$1,275",2br,,chicago,1,"['air conditioning', 'apartment', 'no laundry on site', 'no smoking', 'street parking', 'rent period: monthly']"
Jan 16,3 Bedroom/1 bath RECENTLY COMPLETED FULL RENOVATION!!,https://chicago.craigslist.org/chc/apa/d/chicago-bedroom-bath-recently-completed/7579353756.html,"$2,162",3br,,Wrigleyville,1,"['cats are OK - purrr', 'apartment', 'w/d in unit', 'no parking', 'rent period: monthly']"
Jan 16,"Fulton River 2 Bedroom 2 Bathroom, Balcony, Near Jewel",https://chicago.craigslist.org/chc/apa/d/chicago-fulton-river-bedroom-bathroom/7579352989.html,"$2,929",2br,,Fulton River District,2,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
Jan 16,"Convertible/1 Bedroom w/ in unit w&d, onsite outdoor pool & gym!",https://chicago.craigslist.org/chc/apa/d/chicago-convertible-bedroom-in-unit-wd/7579351340.html,"$1,600",1br,,Medical District,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
Jan 16,"Spacious Studio,In Unit W/D,Pool-Outdoor& Hot Tub, Rooftop!",https://chicago.craigslist.org/chc/apa/d/chicago-spacious-studioin-unit-dpool/7579349643.html,"$1,750",0br,,Lakeshore East,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
Jan 16,"Lakefront studio, spacious rooms & closets, across from lake path",https://chicago.craigslist.org/chc/apa/d/chicago-lakefront-studio-spacious-rooms/7579347667.html,"$1,643",0br,,Gold Coast,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'attached garage', 'rent period: monthly']"
Jan 16,"Modern Studio w/ In unit W&D, Floor to ceiling windows & onsite gym!",https://chicago.craigslist.org/chc/apa/d/chicago-modern-studio-in-unit-wd-floor/7579345803.html,"$1,663",0br,,South Loop,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
Jan 16,"Appealing 1 Bedroom, 1 Bath in Wrigleyville, Available: Now",https://chicago.craigslist.org/chc/apa/d/chicago-appealing-bedroom-bath-in/7579345013.html,"$2,250",1br,700,Wrigleyville,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'off-street parking', 'rent period: monthly']"
