date,title,link,price,bedroom,sqft,neighborhood,bathroom,amenities
17-Jan,Lux Amenities | New Apt| Some Bad/ Low Credit Okay | FREE MOVE,https://houston.craigslist.org/apa/d/conroe-lux-amenities-new-apt-some-bad/7577672540.html,"$1,510 ",2br,,Conroe North/ Montgomery,2,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly', 'wheelchair accessible']"
17-Jan,"2610 Texas Elm Court,",https://houston.craigslist.org/apa/d/fresno-2610-texas-elm-court/7579687800.html,"$1,300 ",3br,,"Fresno, TX",2,"['cats are OK - purrr', 'dogs are OK - wooof', 'house', 'w/d in unit', 'attached garage', 'rent period: monthly']"
17-Jan,"Easy freeway access, Free basic cable TV, Siegel Rewards Program",https://houston.craigslist.org/apa/d/houston-easy-freeway-access-free-basic/7576053120.html,$278 ,1br,,,1,"['apartment', 'laundry on site', 'off-street parking', 'rent period: weekly']"
17-Jan,"Elevator Access, On-Site Management Team, On-Site Maintenance",https://houston.craigslist.org/apa/d/houston-elevator-access-on-site/7578913620.html,$899 ,0br,637,"14703 Park Row, Houston, TX",1,"['apartment', 'no laundry on site', 'off-street parking', 'rent period: monthly']"
17-Jan,SECOND CHANCE + IMMEDIATE MOVE IN + $$$,https://houston.craigslist.org/apa/d/houston-second-chance-immediate-move-in/7572399227.html,$930 ,1br,600,Willowbrook/ Champions/ Ella,1,"['air conditioning', 'furnished', 'apartment', 'w/d hookups', 'carport', 'rent period: monthly']"
17-Jan,"21526 Lovis Way,",https://houston.craigslist.org/apa/d/humble-lovis-way/7579675473.html,"$1,300 ",3br,,"Humble, TX",2,"['cats are OK - purrr', 'dogs are OK - wooof', 'house', 'w/d in unit', 'attached garage', 'rent period: monthly']"
17-Jan,LUXURY LIVING NEAR HOUSTON MEDICAL CENTER + SPECIALS $$$,https://houston.craigslist.org/apa/d/houston-luxury-living-near-houston/7577518416.html,"$1,194 ",1br,636,Med Center/ Braes Bayou,1,"['apartment', 'w/d in unit', 'detached garage', 'rent period: monthly']"
17-Jan,IMMEDIATE MOVE IN + NEWLY REDISIGNED PREMIUM UNITS $$,https://houston.craigslist.org/apa/d/houston-immediate-move-in-newly/7578127333.html,$890 ,1br,620,Energy Corridor/ CityCentre/ Briar Forest,1,"['apartment', 'w/d hookups', 'carport', 'rent period: monthly']"
17-Jan,LUXURY KATY LIVING + END OF YEAR SPECIALS $$$,https://houston.craigslist.org/apa/d/katy-luxury-katy-living-end-of-year/7572402764.html,"$1,388 ",1br,729,Katy/ Cinco Ranch/ Waterside,1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'detached garage', 'rent period: monthly']"
17-Jan,Seabrook - FREE MOVE - Low/ Bad Credit - Misdemeanor - Bankruptcy,https://houston.craigslist.org/apa/d/seabrook-seabrook-free-move-low-bad/7579681679.html,"$1,260 ",1br,,,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
