date,title,link,price,bedroom,sqft,neighborhood,bathroom,amenities
1/17,NICE SINGLE ON RESIDENTIAL STREET,https://losangeles.craigslist.org/lac/apa/d/los-angeles-nice-single-on-residential/7570850785.html,"$1,350",0br,350,2946 W. 14TH STREET,1,"['application fee details: 30.00', 'apartment', 'no laundry on site', 'street parking', 'rent period: monthly']"
1/17,NICE SINGLE ON RESIDENTIAL STREET,https://losangeles.craigslist.org/lac/apa/d/los-angeles-nice-single-on-residential/7573546051.html,"$1,350",0br,550,2946 W. 14TH STREET,1,"['application fee details: 30.00', 'apartment', 'no laundry on site', 'no smoking', 'street parking', 'rent period: monthly']"
1/17,"Covered Parking, Stainless Electric Stove, Recycling",https://losangeles.craigslist.org/lac/apa/d/los-angeles-covered-parking-stainless/7576677294.html,"$2,195",1br,700,"1738 N. Canyon Dr, Los Angeles, CA",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'off-street parking', 'rent period: monthly']"
1/17,"Closet Organizers, Soothing Jacuzzi Spa, Pantry",https://losangeles.craigslist.org/lgb/apa/d/los-angeles-closet-organizers-soothing/7576791009.html,"$2,485",1br,646,"909 W. Temple St. , Los Angeles, CA",1,"['open house dates', 'monday 2023-01-09', 'tuesday 2023-01-10', 'wednesday 2023-01-11']"
1/17,Very nice Single with full kitchen and bathroom,https://losangeles.craigslist.org/lac/apa/d/very-nice-single-with-full-kitchen-and/7577490505.html,"$1,350",0br,500,"1039 W. 58th Street, Los Angeles",1,"['application fee details: 30.00', 'apartment', 'no laundry on site', 'no smoking', 'street parking', 'rent period: monthly']"
1/17,Search. See. Love.,https://losangeles.craigslist.org/ant/apa/d/palmdale-search-see-love/7577562648.html,"$1,949",2br,872,"38300 30th Street East, Palmdale, CA",1,"['apartment', 'w/d in unit', 'carport', 'rent period: monthly']"
1/17,"☰ Studio in Van Nuys - Walk In Closet, Picnic Area, Pool, Won't Last ☰",https://losangeles.craigslist.org/sfv/apa/d/van-nuys-studio-in-van-nuys-walk-in/7579709014.html,"$1,725",0br,500,Van Nuys/Lake Balboa ADJ,1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'off-street parking', 'rent period: monthly']"
1/17,St. Andrews Manor Apartments...Charming Studio...1920's Classic Brick.,https://losangeles.craigslist.org/lac/apa/d/los-angeles-st-andrews-manor/7576159209.html,"$1,450",0br,400,Mid-Wilshire/ Koreatown,1,"['application fee details: $45 per applicant', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'street parking', 'rent period: monthly']"
1/17,"5 Bedrooms , 3 full baths, Beautiful home in a great Palmdale area",https://losangeles.craigslist.org/ant/apa/d/palmdale-bedrooms-full-baths-beautiful/7574877174.html,"$3,590",5br,2960,"37440 Kimberly Lane , Palmdale CA",3,"['cats are OK - purrr', 'dogs are OK - wooof', 'house', 'w/d hookups', 'attached garage', 'rent period: monthly']"
1/17,Diamond Bar Condo,https://losangeles.craigslist.org/sgv/apa/d/diamond-bar-diamond-bar-condo/7579728433.html,"$2,650",2br,,Diamond Bar,1,"['condo', 'w/d in unit', 'attached garage', 'rent period: monthly']"
1/17,"Ceiling Fan, Off Street Parking, Handrails",https://losangeles.craigslist.org/sfv/apa/d/studio-city-ceiling-fan-off-street/7575736395.html,"$4,610",3br,1469,"11805 Laurelwood Dr, Los Angeles, CA",2,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'detached garage', 'rent period: monthly']"
1/17,The Normandie Apts...Newly Remodeled Gorgeous Studio..Great Location!,https://losangeles.craigslist.org/lac/apa/d/los-angeles-the-normandie-aptsnewly/7579728106.html,"$1,495",0br,350,Mid-Wilshire and Koreatown,1,"['application fee details: $45', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'street parking', 'rent period: monthly']"
1/17,Free Rent 2 Bedroom,https://losangeles.craigslist.org/sfv/apa/d/canyon-country-free-rent-bedroom/7579728340.html,"$2,550",2br,843,Canyon Country,1.5,"['apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
1/17,Granite Counters ~ SS Appliances ~ 1 Bedroom 1 BA in Beverly Hills ADJ,https://losangeles.craigslist.org/wst/apa/d/beverly-hills-granite-counters-ss/7579707993.html,"$2,595",1br,800,Beverly Hills Adjacent,1,"['air conditioning', 'apartment', 'laundry on site', 'off-street parking', 'rent period: monthly']"
1/17,"Faux Hardwood Floors, Garden Style Community, Spanish Speaking Staff",https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-faux-hardwood-floors/7577494185.html,"$1,950",0br,300,"4041 Arch Dr, Studio City, CA",1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'carport', 'rent period: monthly']"
1/17,"Concierge Services, Pilates Equipment, 24-Hour Doorman",https://losangeles.craigslist.org/lac/apa/d/los-angeles-concierge-services-pilates/7578965730.html,"$3,164",2br,1062,"1221 W. 3rd St. , Los Angeles, CA",2,"['open house dates', 'sunday 2023-01-15', 'monday 2023-01-16', 'tuesday 2023-01-17']"
1/17,Specious Charming  2+1.5  in WeHo adj.,https://losangeles.craigslist.org/lac/apa/d/los-angeles-specious-charming-215-in/7570756991.html,"$2,650",2br,1000,"1541 N. Formosa Ave., #5 LA, Ca",1.5,"['open house dates', 'wednesday 2023-01-18', 'thursday 2023-01-19', 'friday 2023-01-20']"
1/17,2 BED 1 BATH IN VENICE,https://losangeles.craigslist.org/wst/apa/d/venice-bed-bath-in-venice/7579717304.html,"$1,850",2br,,"1603 Oakwood Ave, Venice, CA",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d hookups', 'attached garage', 'rent period: monthly']"
1/17,Come Check Out Ava Studio City For The Price Drop!!!,https://losangeles.craigslist.org/sfv/apa/d/studio-city-come-check-out-ava-studio/7578922204.html,"$1,825",0br,426,Studio City,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
