price,bedroom,sqft,bathroom,amenity_count,cityID
825,1,375.0,1.0,6,8
1350,2,860.0,1.0,3,8
1695,2,1035.0,1.5,3,8
1250,2,570.0,1.0,6,8
1250,3,1150.0,1.5,6,8
1660,1,620.0,1.0,6,8
1495,2,1050.0,2.0,5,8
1200,2,1200.0,1.0,5,8
1200,2,1200.0,1.0,5,8
1255,1,660.0,1.0,3,8
2500,4,500.0,2.0,6,8
1350,2,860.0,1.0,3,8
2380,2,925.0,1.0,6,8
3300,4,1500.0,3.5,3,8
1250,3,1150.0,1.5,6,8
1250,3,1150.0,1.5,6,8
1786,2,1183.0,2.0,7,8
1650,3,950.0,2.0,6,8
1250,1,860.0,1.0,0,8
1250,3,1150.0,1.5,6,8
2230,2,975.0,1.0,6,8
1250,3,1150.0,1.5,6,8
1250,3,1150.0,1.5,6,8
1245,1,750.0,1.0,5,8
825,1,1.0,1.0,5,8
1450,2,860.0,1.0,3,8
2785,2,926.0,1.0,6,8
1695,2,1035.0,1.5,3,8
1039,2,700.0,1.0,3,8
1289,2,850.0,1.0,3,8
1359,1,650.0,1.0,4,8
2150,2,1050.0,1.0,4,8
1999,2,1350.0,1.5,4,8
1635,2,700.0,1.0,4,8
1250,3,1150.0,1.5,6,8
2500,4,500.0,2.0,6,8
1275,1,640.0,1.0,3,8
2093,2,1213.0,2.0,7,8
910,1,550.0,1.0,6,8
960,1,550.0,1.0,5,8
1375,2,1300.0,2.0,5,8
950,1,800.0,1.0,5,8
910,1,550.0,1.0,5,8
910,1,550.0,1.0,5,8
910,1,550.0,1.0,4,8
950,1,800.0,1.0,5,8
950,1,800.0,1.0,5,8
950,1,800.0,1.0,5,8
950,1,800.0,1.0,5,8
910,1,550.0,1.0,5,8
910,1,550.0,1.0,5,8
950,1,800.0,1.0,5,8
910,1,550.0,1.0,6,8
950,1,800.0,1.0,5,8
910,1,550.0,1.0,5,8
960,1,550.0,1.0,6,8
950,1,800.0,1.0,5,8
950,1,800.0,1.0,5,8
950,1,800.0,1.0,5,8
960,1,550.0,1.0,5,8
980,1,800.0,1.0,5,8
910,1,800.0,1.0,5,8
980,1,800.0,1.0,4,8
1695,2,1035.0,1.5,3,8
960,1,550.0,1.0,5,8
910,1,550.0,1.0,5,8
1375,2,1300.0,2.0,5,8
960,1,550.0,1.0,5,8
950,1,800.0,1.0,5,8
950,1,800.0,1.0,5,8
1375,2,1300.0,2.0,5,8
1695,3,820.0,2.0,6,8
2702,3,1467.0,2.0,7,8
1628,1,580.0,1.0,6,8
1420,2,850.0,1.0,8,8
775,1,470.0,1.0,6,8
1265,1,750.0,1.0,5,8
1200,2,1200.0,1.0,6,8
2200,2,975.0,1.0,6,8
1255,1,660.0,1.0,3,8
869,3,726.0,1.0,3,8
1180,1,640.0,1.0,3,8
1930,2,1020.0,2.0,6,8
1695,4,700.0,2.0,6,8
795,1,1000.0,1.0,5,8
1280,2,850.0,1.0,6,8
1795,4,1075.0,2.5,6,8
2178,2,1213.0,2.0,7,8
1250,2,1000.0,1.0,3,8
