price,bedroom,sqft,bathroom,amenity_count
1265,1,782.0,1.0,7
1446,2,811.0,1.0,3
1439,1,720.0,1.0,3
1755,2,1167.0,2.0,5
1970,3,1200.0,2.0,8
2273,3,1320.0,2.0,3
1598,2,996.0,2.0,6
1710,2,1040.0,2.0,5
1653,2,960.0,2.0,3
1550,2,1009.0,2.0,7
1598,2,996.0,2.0,7
1610,2,1038.0,2.0,3
1605,2,983.0,2.0,5
1647,3,1195.0,2.0,3
1561,1,792.0,1.0,3
1651,2,1003.0,2.0,7
1486,1,740.0,1.0,3
1743,1,800.0,1.0,8
2050,3,1253.0,2.0,5
1362,2,811.0,2.0,3
1775,2,1134.0,2.0,2
1605,2,983.0,2.0,5
1540,1,792.0,1.0,3
1395,1,695.0,1.0,3
1970,3,1200.0,2.0,8
1777,3,1204.0,2.0,7
1628,2,960.0,2.0,3
1605,2,983.0,2.0,5
1435,2,811.0,2.0,3
1566,2,980.0,2.0,3
1406,1,792.0,1.0,3
1649,1,768.0,1.0,2
1605,2,983.0,2.0,5
1443,1,681.0,1.0,3
1440,1,732.0,1.0,5
1403,1,732.0,1.0,6
1628,2,960.0,2.0,3
2285,3,1445.0,2.0,6
2285,3,1445.0,2.0,6
2285,3,1445.0,2.0,6
1710,2,1040.0,2.0,5
1739,1,800.0,1.0,8
1570,2,1152.0,2.0,3
1730,2,1121.0,2.0,3
1710,2,1040.0,2.0,5
1695,2,1062.0,2.0,6
1647,3,1195.0,2.0,3
1599,2,1102.0,2.0,7
1649,1,768.0,1.0,2
1785,2,900.0,2.0,6
1395,1,695.0,1.0,3
389,1,395.0,1.0,7
389,1,395.0,1.0,5
1425,1,732.0,1.0,5
1372,1,660.0,1.0,8
389,1,395.0,1.0,7
389,1,395.0,1.0,5
1651,2,1003.0,2.0,7
2100,2,1250.0,2.0,6
389,1,398.0,1.0,6
389,1,398.0,1.0,6
2098,3,1355.0,2.0,7
1879,2,1121.0,2.0,3
2043,2,1128.0,2.0,6
389,1,395.0,1.0,5
1710,2,1040.0,2.0,5
1295,1,701.0,1.0,8
1550,2,1006.0,2.0,7
1199,1,660.0,1.0,6
1424,1,867.0,1.0,6
1824,2,950.0,2.0,8
389,1,395.0,1.0,5
2768,3,1361.0,2.0,7
389,1,395.0,1.0,5
1350,1,572.0,1.0,6
1450,2,961.0,2.0,7
1269,1,731.0,1.0,6
1585,2,825.0,1.0,5
1400,1,724.0,1.0,7
2504,3,1235.0,2.0,8
1668,2,977.0,2.0,6
2400,3,1244.0,2.0,7
1375,1,605.0,1.0,7
1750,2,1093.0,2.0,8
2093,2,1046.0,2.0,6
389,1,395.0,1.0,5
1797,3,1195.0,2.0,3
1125,0,450.0,1.0,6
389,1,395.0,1.0,7
1585,3,1232.0,2.0,3
1560,1,689.0,1.0,3
1802,3,1204.0,2.0,3
389,1,395.0,1.0,5
389,1,395.0,1.0,5
2210,3,1320.0,2.0,3
1798,2,960.0,2.0,6
1425,1,732.0,1.0,5
1400,2,725.0,1.0,6
389,1,395.0,1.0,7
1689,2,1121.0,2.0,3
1598,2,1054.0,2.0,3
389,2,395.0,1.0,5
1449,1,684.0,1.0,6
389,1,398.0,1.0,8
389,1,395.0,1.0,5
1403,1,732.0,1.0,7
389,1,395.0,1.0,5
389,1,395.0,1.0,7
389,1,395.0,1.0,7
389,1,398.0,1.0,8
1235,1,704.0,1.0,5
1637,2,1067.0,2.0,3
389,1,395.0,1.0,7
1730,2,1121.0,2.0,3
1869,2,1042.0,2.0,6
1425,1,732.0,1.0,5
3095,4,1750.0,2.0,6
1800,2,1200.0,2.0,6
2125,3,1200.0,2.0,6
389,1,395.0,1.0,7
389,1,395.0,1.0,7
1705,2,925.0,2.0,5
1678,2,1025.0,2.0,3
1692,2,975.0,2.0,3
1691,2,925.0,1.0,3
1498,1,800.0,1.0,3
1436,1,695.0,1.0,3
1413,1,700.0,1.0,3
1353,1,600.0,1.0,3
1356,1,732.0,1.0,7
1975,3,1194.0,2.0,7
2197,3,1320.0,2.0,3
1605,2,983.0,2.0,5
1785,3,1232.0,2.0,3
1807,3,1204.0,2.0,7
1199,0,380.0,1.0,5
1950,2,1130.0,2.0,5
1395,1,695.0,1.0,3
1945,2,900.0,2.0,6
1639,2,960.0,2.0,3
1659,1,953.0,1.0,5
389,1,395.0,1.0,5
1362,2,811.0,2.0,3
1354,1,732.0,1.0,5
1605,2,983.0,2.0,5
389,1,395.0,1.0,5
2000,3,1680.0,2.0,4
389,1,395.0,1.0,5
1799,2,1263.0,2.5,7
1647,2,960.0,2.0,3
1869,2,979.0,2.5,6
389,1,395.0,1.0,5
389,1,395.0,1.0,5
1599,2,1067.0,2.0,3
1840,2,950.0,2.0,8
1918,1,848.0,1.0,6
389,1,395.0,1.0,7
1648,2,1003.0,2.0,7
389,1,395.0,1.0,7
1714,2,1042.0,2.0,6
1539,2,980.0,2.0,3
389,1,395.0,1.0,7
1430,1,826.0,1.0,5
1710,2,1040.0,2.0,5
1362,2,789.0,1.0,6
389,1,398.0,1.0,6
1777,3,1204.0,2.0,7
389,1,395.0,1.0,7
389,1,395.0,1.0,5
1582,1,792.0,1.0,3
1590,2,1009.0,2.0,7
1785,3,1232.0,2.0,3
1400,2,935.0,2.0,3
1489,1,755.0,1.0,3
1400,2,935.0,2.0,5
1425,1,732.0,1.0,5
1449,1,638.0,1.0,6
1356,1,732.0,1.0,7
1560,1,820.0,1.0,7
1395,1,695.0,1.0,3
2600,3,1323.0,2.0,7
1275,1,713.0,1.0,7
1475,2,808.0,2.0,7
1834,2,1121.0,2.0,6
1299,1,615.0,1.0,6
1518,1,794.0,1.0,6
1752,2,960.0,2.0,3
1072,0,540.0,1.0,8
2025,3,1239.0,2.0,3
2175,3,1444.0,2.0,7
1481,2,847.0,2.0,8
1789,2,952.0,1.0,6
1399,2,964.0,2.0,5
2258,2,1241.0,2.0,6
1350,2,900.0,1.0,6
1585,2,825.0,1.0,5
1525,1,796.0,1.0,8
1891,2,970.0,1.0,8
1700,2,960.0,2.0,6
2020,3,1152.0,2.0,7
1598,2,996.0,2.0,7
2060,2,965.0,2.0,7
1534,1,742.0,1.0,6
2709,3,1217.0,2.0,7
1719,2,1121.0,2.0,3
1550,2,1009.0,2.0,7
2245,3,1654.0,2.5,7
1425,1,732.0,1.0,5
1720,2,1121.0,2.0,3
1587,2,1190.0,2.0,3
1637,2,1067.0,2.0,3
1539,1,797.0,1.0,5
1618,2,1003.0,2.0,7
1340,1,695.0,1.0,3
1125,0,450.0,1.0,6
1695,2,900.0,2.0,6
1799,2,1076.0,2.0,6
2550,3,1200.0,2.0,8
225,6,3100.0,4.5,5
1628,2,960.0,2.0,3
1354,1,732.0,1.0,7
1515,2,1009.0,2.0,7
1582,1,792.0,1.0,3
1613,2,1067.0,2.0,3
1425,1,732.0,1.0,5
1906,2,1120.0,2.0,6
1577,2,800.0,1.0,5
1598,2,1054.0,2.0,3
1354,1,732.0,1.0,5
1794,2,1150.0,2.0,8
1275,1,720.0,1.0,7
1450,2,961.0,2.0,7
1757,2,1150.0,2.0,3
1705,2,925.0,2.0,5
1350,1,572.0,1.0,6
2592,3,1400.0,2.0,6
1463,1,882.0,1.0,3
1400,2,725.0,1.0,6
1370,1,681.0,1.0,3
1425,1,732.0,1.0,5
1775,2,900.0,2.0,6
1480,1,792.0,1.0,3
1985,3,1335.0,2.0,8
1802,3,1204.0,2.0,7
1496,1,940.0,1.0,3
1552,2,1190.0,2.0,3
3095,4,1750.0,2.0,6
1755,2,1167.0,2.0,5
2020,2,972.0,2.0,7
1550,2,1144.0,2.0,7
1739,1,800.0,1.0,8
1598,2,996.0,2.0,6
1412,1,792.0,1.0,3
1500,1,689.0,1.0,3
1516,1,681.0,1.0,3
1367,1,681.0,1.0,3
1395,1,695.0,1.0,3
1818,2,974.0,2.0,6
1534,2,1067.0,2.0,3
1687,2,960.0,2.0,3
1651,2,1003.0,2.0,7
1605,2,983.0,2.0,5
1265,1,782.0,1.0,7
1613,2,996.0,2.0,7
1560,1,689.0,1.0,3
1341,1,792.0,1.0,3
1597,1,940.0,1.0,3
1356,1,732.0,1.0,6
1582,1,792.0,1.0,3
1425,1,732.0,1.0,5
1970,3,1200.0,2.0,8
1625,2,1144.0,2.0,7
1698,2,1038.0,2.0,3
1582,1,792.0,1.0,3
1599,2,980.0,2.0,3
1687,2,960.0,2.0,3
2200,3,1766.0,2.5,3
1471,1,732.0,1.0,5
1755,2,1167.0,2.0,5
1455,1,730.0,1.0,8
1550,2,1009.0,2.0,7
1618,2,1003.0,2.0,7
1456,2,811.0,1.0,3
1687,2,960.0,2.0,3
1711,3,1195.0,2.0,3
1838,2,1121.0,2.0,3
1568,2,996.0,2.0,5
1425,1,732.0,1.0,5
1743,1,800.0,1.0,8
1625,2,1144.0,2.0,7
2124,3,1293.0,2.0,3
1396,1,720.0,1.0,3
1710,2,1040.0,2.0,5
1582,1,792.0,1.0,3
1598,2,996.0,2.0,7
1970,3,1200.0,2.0,8
1700,2,800.0,1.0,6
1550,2,1009.0,2.0,7
2273,3,1320.0,2.0,3
2022,3,1204.0,2.0,5
1399,2,850.0,2.0,6
1511,2,1152.0,2.0,3
1840,2,950.0,2.0,8
1834,3,1201.0,2.0,3
1300,2,1100.0,2.0,5
1860,2,1200.0,2.0,6
2190,3,1320.0,2.0,3
1403,1,732.0,1.0,7
1605,2,983.0,2.0,5
1743,1,800.0,1.0,8
1550,2,1009.0,2.0,7
3000,3,1450.0,2.0,7
1426,1,792.0,1.0,3
1615,1,674.0,1.0,8
1500,1,689.0,1.0,3
1647,3,1195.0,2.0,3
2100,3,1842.0,2.0,3
1950,3,1363.0,2.0,3
1700,2,1121.0,2.0,3
1598,2,996.0,2.0,7
1613,2,1067.0,2.0,3
2050,3,1253.0,2.0,5
1590,2,1009.0,2.0,7
2190,3,1320.0,2.0,3
1777,3,1204.0,2.0,5
1560,1,689.0,1.0,3
2228,2,1181.0,2.0,7
1475,2,808.0,2.0,7
2191,2,1022.0,2.0,8
1705,2,925.0,2.0,5
1568,1,741.0,1.0,6
1350,1,572.0,1.0,6
1599,2,1102.0,2.0,7
1887,2,1260.0,2.0,6
1435,1,657.0,1.0,9
389,1,395.0,1.0,5
3095,4,1750.0,2.0,6
1350,1,600.0,1.0,7
1771,2,1121.0,2.0,3
2011,3,1345.0,2.0,7
2078,2,1070.0,2.0,3
389,1,395.0,1.0,7
1798,2,960.0,2.0,6
1825,3,1232.0,2.0,3
389,1,395.0,1.0,7
389,1,395.0,1.0,5
389,1,398.0,1.0,7
389,1,395.0,1.0,5
389,1,398.0,1.0,8
389,1,395.0,1.0,7
389,1,395.0,1.0,5
1387,1,740.0,1.0,3
389,1,398.0,1.0,7
1987,3,1200.0,2.0,8
1869,2,1042.0,2.0,6
1802,3,1204.0,2.0,6
389,1,395.0,1.0,5
1395,2,1049.0,2.0,5
1199,1,660.0,1.0,6
1450,2,961.0,2.0,7
1587,2,950.0,2.0,8
1785,3,1232.0,2.0,3
1755,2,1167.0,2.0,5
1695,2,1062.0,2.0,6
2203,3,1239.0,2.0,3
1550,2,1006.0,2.0,7
1370,1,681.0,1.0,3
1475,2,1009.0,2.0,7
1597,1,940.0,1.0,3
2203,3,1320.0,2.0,3
1771,2,1121.0,2.0,3
1548,0,546.0,1.0,8
1637,2,1067.0,2.0,3
1397,1,681.0,1.0,3
1564,1,689.0,1.0,3
1499,2,900.0,2.0,7
1802,1,1138.0,1.0,6
1775,2,1134.0,2.0,2
1640,2,1000.0,2.0,8
1724,2,1121.0,2.0,3
2177,1,1138.0,1.0,6
1743,1,800.0,1.0,8
1507,2,1067.0,2.0,3
1714,2,1042.0,2.0,6
1484,2,1067.0,2.0,3
2087,3,1320.0,2.0,3
1356,1,732.0,1.0,5
1846,2,1147.0,2.0,5
1370,1,681.0,1.0,3
1807,3,1204.0,2.0,7
1350,1,600.0,1.0,7
389,1,395.0,1.0,7
1755,2,1167.0,2.0,5
1598,2,1054.0,2.0,3
1515,2,1009.0,2.0,7
1200,0,450.0,1.0,5
389,1,395.0,1.0,7
1563,2,960.0,2.0,3
1487,1,920.0,1.0,8
1802,3,1204.0,2.0,6
389,1,395.0,1.0,7
389,1,395.0,1.0,7
389,1,395.0,1.0,7
1426,1,689.0,1.0,3
1818,1,909.0,1.0,3
389,1,395.0,1.0,7
389,1,395.0,1.0,7
385,1,395.0,1.0,7
2000,3,1696.0,2.0,7
389,1,398.0,1.0,7
1781,2,948.0,2.0,9
389,1,395.0,1.0,7
1424,1,867.0,1.0,6
1599,2,1067.0,2.0,3
1568,2,939.0,2.0,3
2794,3,1361.0,2.0,7
1799,2,1076.0,2.0,6
1426,1,689.0,1.0,3
1370,1,681.0,1.0,3
1648,2,1003.0,2.0,7
1375,1,605.0,1.0,7
1975,3,1194.0,2.0,7
1834,2,1121.0,2.0,6
2025,3,1239.0,2.0,3
1799,2,1263.0,2.5,7
1553,2,1152.0,2.0,3
1579,1,919.0,1.0,7
1295,1,688.0,1.0,5
1585,2,825.0,1.0,5
389,1,395.0,1.0,5
1399,2,811.0,1.0,3
389,1,395.0,1.0,5
389,1,395.0,1.0,7
389,1,395.0,1.0,5
389,1,395.0,1.0,5
389,1,395.0,1.0,7
3095,4,1750.0,2.0,6
1973,1,850.0,1.0,8
1668,2,977.0,2.0,6
1700,2,960.0,2.0,6
1775,2,1134.0,2.0,2
1350,2,900.0,1.0,6
389,1,395.0,1.0,7
389,1,395.0,1.0,5
389,1,395.0,1.0,7
389,1,395.0,1.0,5
389,1,395.0,1.0,7
2116,3,1239.0,2.0,3
