price,bedroom,sqft,neighborhood,bathroom,amenity_count
1050,1,750.0,Logan Square,1.0,5
1250,1,750.0,Logan Square,1.0,5
1200,1,1000.0,west chicagoland,1.0,2
1450,1,1000.0,Munster,1.0,6
1190,3,1181.0,Washington Park,2.0,5
1040,2,792.0,Riverdale,1.0,5
840,2,650.0,Chatham,1.0,5
1250,0,450.0,Chicago,1.0,2
1250,0,400.0,Chicago,1.0,2
1250,0,357.0,Chicago,1.0,4
1250,0,450.0,Chicago,1.0,2
975,0,216.0,Chicago,1.0,4
2250,1,700.0,Wrigleyville,1.0,5
2050,1,700.0,Lincoln Park,1.0,5
1750,1,750.0,Lakeview/Northalsted,1.0,5
1950,1,700.0,Gold Coast,1.0,5
1950,1,700.0,Lakeview,1.0,5
1400,1,1600.0,Chicago,2.5,5
1195,0,950.0,Lincoln Square/ Ravenswood,1.0,5
1925,1,700.0,Lakeview,1.0,5
1895,1,700.0,Lincoln Park,1.0,5
1875,1,700.0,Lincoln Park,1.0,5
1550,1,1350.0,Edgewater,1.0,6
1895,1,700.0,Highland Park,1.0,5
1875,1,700.0,Lincoln Park,1.0,5
1850,1,700.0,Wrigleyville,1.0,5
1825,1,700.0,Lincoln Park,1.0,5
1395,1,1300.0,West Ridge West Rogers Park,1.0,5
1795,1,700.0,Lakeview,1.0,5
1795,1,700.0,Wrigleyville,1.0,5
1795,1,700.0,Lakeview,1.0,5
1750,1,700.0,Lincoln Square,1.0,5
1650,1,700.0,Lakeview,1.0,5
1595,1,700.0,Ravenswood,1.0,5
1595,1,700.0,Lincoln Park,1.0,5
1550,1,700.0,Wrigleyville,1.0,5
1550,1,700.0,Lakeview,1.0,5
3274,2,1158.0,city of chicago,2.0,5
1550,2,850.0,East Pilsen,1.0,3
1495,1,700.0,Wrigleyville,1.0,5
1495,1,700.0,Lakeview,1.0,5
1350,2,850.0,East Pilsen,1.0,3
1425,1,700.0,Ravenswood,1.0,5
900,1,800.0,"EVERGREEN PARK, IL",1.0,3
1425,1,700.0,Wrigleyville,1.0,5
1395,1,700.0,Lakeview,1.0,5
1375,1,700.0,Ravenswood,1.0,5
2500,3,1500.0,Bucktown,2.0,6
2395,3,1800.0,Edgewater,1.0,7
2250,2,1800.0,Edgewater,1.0,7
975,1,500.0,South Berwyn,1.0,4
2425,2,842.0,Pilsen,1.0,7
1365,1,635.0,Arlington Heights,1.0,5
2960,2,1096.0,Bucktown,2.0,11
1950,1,740.0,South Loop,1.0,10
1500,2,1300.0,West Bucktown/Logan Square,1.0,6
2220,1,752.0,River North,1.0,10
1850,3,950.0,Belmont Heights,1.5,3
1695,2,848.0,Arlington Heights,1.0,5
1710,2,995.0,Lombard,2.0,6
2100,1,250.0,Lansing,1.0,7
1300,0,600.0,5415 N. Sheridan Road,1.0,3
1195,0,500.0,Chicago,1.0,5
1800,1,850.0,Lincoln Square,1.0,3
1505,0,450.0,Lakeview,1.0,4
1475,0,450.0,Lakeview,1.0,4
1200,2,900.0,Chicago,1.0,3
1330,0,450.0,Lakeview,1.0,3
1695,2,864.0,Arlington Heights,1.0,5
1285,0,450.0,Lakeview,1.0,4
2935,2,1200.0,Uptown,2.0,8
1650,3,1000.0,East Garfield Park,2.0,5
1230,0,450.0,Lakeview,1.0,4
1400,3,900.0,Archer/Lockwood,1.5,4
1295,2,700.0,Evanston,1.0,5
1505,0,450.0,Lakeview,1.0,4
1750,2,850.0,Chicago Armour Square Bridgeport Chinatown,1.0,3
1400,2,763.0,"Chicago, Uptown",1.0,5
1520,2,878.0,Lombardon,1.0,6
2025,2,1700.0,Plainfield IL,2.5,5
2930,2,1021.0,1847 N. Humboldt Blvd. (Humboldt-Logan Square),2.0,8
1405,0,450.0,Lakeview,1.0,4
1355,0,450.0,Lake,1.0,4
1425,0,450.0,Lakeview,1.0,4
2250,2,800.0,Logan Square,1.0,7
1150,3,1172.0,Waukegan,1.0,6
1250,1,900.0,Edgewater,1.0,6
1200,0,450.0,Lakeview,1.0,4
3356,2,1320.0,city of chicago,2.0,5
2600,2,1400.0,Bucktown,2.0,9
2600,2,1400.0,Bucktown,2.0,9
3990,3,3000.0,Bucktown,3.0,7
1900,3,1350.0,Uptown,1.0,6
1390,1,648.0,Arlington Heights,1.0,5
1830,3,1176.0,Lombard,2.0,6
2700,3,1600.0,Avondale,3.0,7
2550,3,1600.0,Chicago,2.0,7
1250,2,850.0,Hermosa,1.0,3
2800,2,1400.0,Lakeview,2.0,6
325,1,315.0,Tinley Park,1.0,9
2995,2,850.0,Ravenswood,2.0,10
2095,3,1128.0,Arlington Heights,2.0,5
2427,1,963.0,South Loop,1.5,7
2310,1,800.0,Lincoln Park,1.0,5
1800,2,820.0,CRYSTAL LAKE,1.0,6
1399,2,1150.0,PICKWICK,1.0,4
1710,2,995.0,Lombard,2.0,6
960,0,440.0,Hyde Park,1.0,5
1250,2,915.0,Bridgeport,1.0,5
970,1,523.0,Riverdale,1.0,5
1195,3,950.0,Park Manor,1.0,5
2050,3,1200.0,Humboldt Park,1.5,9
1750,3,1300.0,Wicker Park,1.0,6
1000,1,510.0,South Austin,1.0,5
980,2,650.0,South Shore,1.0,5
940,1,650.0,Brainerd,1.0,5
1400,2,1000.0,SOUTHSHORE,1.0,3
3450,2,1450.0,"Streeterville, Chicago",2.0,8
2400,1,600.0,Printers Row: Chicago,1.0,9
1400,2,1339.0,"Chicago, IL",1.0,3
2250,1,820.0,Gold Coast,1.0,6
1100,2,850.0,Austin,1.0,6
2595,4,2000.0,Logan Square,2.0,6
725,1,700.0,Chicago,1.0,4
1950,2,950.0,"Lincoln Park, Available March 1",1.0,5
1557,1,650.0,Chicago,1.0,3
2191,1,800.0,city of chicago,1.0,5
2300,3,900.0,Oak lawn,1.0,7
1620,2,850.0,Chicago,1.0,6
2550,3,1600.0,Chicago,2.0,7
2700,3,1600.0,Avondale,3.0,7
1925,1,700.0,Lincoln Park,1.0,5
3395,3,947.0,Ukrainian Village,2.0,4
1995,2,1000.0,Logan Square,1.0,3
1795,1,700.0,Lakeview,1.0,5
1095,0,400.0,Ravenswood,1.0,5
2250,1,700.0,Wrigleyville,1.0,5
2700,3,1400.0,Wrigleyville,3.0,3
1025,2,725.0,Little Village,1.0,7
4115,2,1078.0,West Loop/Fulton Market,2.0,5
2333,1,560.0,West Loop/Fulton Market,1.0,5
1450,2,850.0,Chicago Ridge,1.0,6
650,0,400.0,South Chicago Heights,1.0,4
2218,1,738.0,Printer’s Row,1.0,9
1350,2,900.0,Forest Park,1.0,5
3200,2,1000.0,Chicago,1.5,8
1749,1,600.0,Chicago,1.0,7
2327,2,903.0,Uptown / Andersonville,1.0,7
3200,2,1200.0,Uptown / Andersonville,2.0,7
2800,5,2600.0,Naperville,3.5,5
1295,2,1000.0,Griffith,1.0,5
1175,2,800.0,Griffith,1.0,7
1300,1,650.0,Skokie,1.0,6
975,1,450.0,"Hammond, Indiana",1.0,3
1700,3,1100.0,Chicago Avondale,1.0,4
3650,2,2000.0,Wicker Park/Bucktown,2.0,6
1700,1,950.0,Bucktown,1.0,5
1830,3,1176.0,Lombard,2.0,6
1325,1,650.0,Ravenswood,1.0,7
1550,3,1200.0,Crown Point,1.5,3
1730,2,995.0,Lombard,2.0,6
2650,2,2000.0,Chicago,2.0,7
2700,3,1600.0,Avondale,3.0,7
2550,3,1600.0,Chicago,2.0,7
1795,2,924.0,Arlington Heights,2.0,5
3357,2,1320.0,city of chicago,2.0,5
1250,3,800.0,Bridgeport   in  Chicago  60616,1.0,5
1750,2,1100.0,Logan Square,1.0,6
1325,1,600.0,Evanston,1.0,3
1100,0,600.0,Bucktown,1.0,5
1095,2,900.0,Portage,1.0,5
1650,3,1300.0,Wicker Park,1.0,6
1550,3,1400.0,Pilsen,1.0,5
2795,2,1200.0,Gold Coast,1.5,9
1975,3,2400.0,North Lawndale Neighborhood,1.0,4
925,0,500.0,Irving Park,1.0,5
2000,2,1100.0,Lakeview/Lincoln Park,2.0,5
2300,1,800.0,Lincoln Park,1.0,10
1745,2,1300.0,Chicago,1.0,8
3180,3,1900.0,East Humboldt Park,2.0,4
950,0,516.0,Humboldt Park,1.0,5
995,0,750.0,ROGERS PARK,1.0,4
2995,3,1150.0,Ravenswood,2.0,6
2560,3,1500.0,Aurora,2.0,7
1745,2,924.0,Arlington Heights,2.0,5
1500,2,900.0,Andersonville,1.0,6
925,0,350.0,Chicago,1.0,6
1075,1,750.0,Logan Square,1.0,5
1780,3,1176.0,Lombard,2.0,6
1780,3,1176.0,Lombard,2.0,6
2845,3,1600.0,South Loop,2.0,7
1700,2,1200.0,"Rogers Park, Chicago",1.0,4
1665,2,848.0,Arlington Heights,1.0,5
3275,2,1158.0,city of chicago,2.0,5
1420,1,648.0,Arlington Heights,1.0,5
900,0,500.0,Edgewater,1.0,5
1795,2,1500.0,"Edison Park, Chicago/ Park Ridge",1.0,4
1665,2,864.0,Arlington Heights,1.0,5
1175,1,550.0,Oak Park,1.0,4
1395,1,750.0,AVAILABLE NOW,1.0,5
1400,1,725.0,Buena Park,1.0,7
3295,2,1041.0,Logan Square,2.0,7
1450,3,1200.0,Ridge Ave - Rogers Park,2.0,3
975,1,1000.0,Rogers Park,1.0,3
1150,2,900.0,Ridge Ave - Rogers Park,1.0,3
1575,2,1000.0,Lincoln & Fullerton - Lincoln Park,1.0,3
1575,2,1100.0,Kenmore & Roscoe - Lakeview,1.5,3
2450,2,1600.0,Edison Park,2.5,4
1190,1,650.0,3205 N. Clark,1.0,3
880,1,600.0,North Ave. & N. Kedzie,1.0,3
1250,2,1100.0,Sheridan & South Blvd - East Evanston,1.0,3
970,1,900.0,Evanston,1.0,3
950,1,800.0,New North Lawndale,1.0,7
1695,2,1000.0,Naperville,1.0,4
1680,2,995.0,Lombard,2.0,6
1350,1,650.0,Chicago,1.0,7
925,2,850.0,Valparaiso,1.0,7
1200,1,600.0,Oak Park,1.0,4
1700,2,1050.0,Oak Park,2.0,4
1395,2,900.0,Oak Park,1.0,5
1250,2,850.0,WEST PILSEN - CALIFORNIA & 26TH ST,1.0,6
1800,3,1250.0,WEST PILSEN - CALIFORNIA & 26TH ST,1.0,8
2095,3,1128.0,Arlington Heights,2.0,5
995,2,700.0,Prime Bridgeport in Chicago USA  60609,1.0,5
1400,1,971.0,Chicago,1.0,4
2194,1,800.0,city of chicago,1.0,5
1850,2,1200.0,Horner Park,2.0,8
900,0,408.0,Chicago uptown,1.0,8
1395,1,600.0,Arlington Heights,1.0,5
925,0,400.0,Uptown/Sheridan Park,1.0,4
2427,1,963.0,South Loop,1.5,3
1705,2,1042.0,Lombard,2.0,6
2295,3,1100.0,Humboldt Park,2.0,5
1600,1,800.0,708 S. Laflin St.,1.0,4
3295,3,1200.0,Lincoln Park Chicago,2.0,7
1495,1,700.0,Lincoln Park Chicago,1.0,8
1995,2,800.0,Bucktown Chicago,1.0,8
2700,3,1600.0,Avondale,3.0,6
845,0,340.0,East Rogers Park,1.0,5
1375,2,600.0,Pilsen,1.0,7
950,1,672.0,Griffith,1.0,6
1470,2,1243.0,Washington Park,1.0,5
1850,2,1200.0,Hermosa/Belmont Cragin,1.0,6
1005,2,757.0,Riverdale,1.0,5
920,2,700.0,Chatham,1.0,5
1250,1,625.0,Arlington Heights,1.0,3
920,0,498.0,AUSTIN,1.0,5
1150,2,950.0,South Shore,1.0,5
990,1,700.0,BRAINERD,1.0,5
950,2,1100.0,Old town,2.0,4
750,1,120.0,Skokie Downtown,1.0,6
1925,3,1950.0,Skokie Swift,2.0,5
3350,3,1500.0,West Town / East Village / Ukrainian Village,2.0,6
1995,2,900.0,Evanston,1.0,5
2695,3,1100.0,Evanston,2.0,5
1950,2,900.0,Ravenswood,1.0,5
1895,1,700.0,Ravenswood,1.0,5
1595,1,700.0,Highland Park,1.0,5
1950,2,900.0,Winnetka,1.0,5
2195,2,900.0,Gold Coast,1.0,5
2095,2,900.0,Gold Coast,1.0,5
1950,1,700.0,Gold Coast,1.0,5
1395,0,400.0,Lakeview,1.0,5
1250,0,400.0,Wrigleyville,1.0,5
1095,0,400.0,Lakeview,1.0,5
1350,0,400.0,Gold Coast,1.0,5
3356,2,1320.0,city of chicago,2.0,5
1600,2,650.0,Pilsen ( Heart of Chicago ),1.0,4
1500,1,650.0,Bridgeport,1.0,6
1395,1,600.0,Arlington Heights,1.0,5
2100,2,1100.0,Bucktown,4.0,5
2100,3,1200.0,3624 W. George - Avondale,2.0,4
1700,3,1200.0,Chicago,2.0,4
1500,2,1150.0,3526 W. Dickens - Logan Square,1.0,5
1500,2,1150.0,2508 N. Harding - Logan Square,1.0,5
1400,1,619.0,Hyde Park - Trilogy Hyde Park,1.0,6
1450,3,1300.0,Valparaiso,2.0,5
1400,2,112.0,Old Town,1.5,6
4750,3,2600.0,Chicago,3.0,8
1505,2,995.0,Lombard,1.0,6
1395,1,635.0,Arlington Heights,1.0,5
1350,0,450.0,Lakeview,1.0,5
1425,1,700.0,Ravenswood,1.0,5
3276,2,1158.0,city of chicago,2.0,5
1745,2,924.0,Arlington Heights,2.0,5
1600,1,800.0,Uptown,1.0,8
2900,3,1800.0,Logan Square,2.0,6
2350,2,800.0,Lincoln Park,1.0,5
1665,2,848.0,Arlington Heights,1.0,5
2200,3,1300.0,Chicago,1.0,5
2500,3,1600.0,Pilsen,2.0,7
1500,2,800.0,Bridgeport,1.0,6
2495,3,1300.0,Pilsen,2.0,4
2700,3,1500.0,Wicker Park,2.0,6
3250,1,1700.0,Wicker Park,1.0,7
1500,1,650.0,Lakeview,1.0,5
1275,1,700.0,Forest Park,1.0,7
1200,2,900.0,Downtown Valparaiso,1.0,5
2100,1,250.0,Lansing,1.0,7
1780,3,1176.0,Lombard,2.0,6
1150,2,700.0,Pilsen,1.0,5
1780,3,1176.0,Lombard,2.0,6
1475,2,878.0,Lombard,1.0,6
399,1,450.0,Lombard,1.0,9
1400,1,600.0,Portage Park,1.0,7
1665,2,864.0,Arlington Heights,1.0,5
1500,2,1200.0,Schiller Park,2.0,4
2000,2,1197.0,La Grange,1.5,7
1290,2,1200.0,Chicago,1.0,3
2193,1,830.0,city of chicago,1.0,5
2000,0,540.0,River North,1.0,5
1420,1,648.0,Arlington Heights,1.0,5
1680,2,995.0,Lombard,2.0,6
2900,2,1500.0,Evanston,2.0,5
1210,1,875.0,Evanston,1.0,5
1300,2,900.0,southwest chicago,1.0,4
2300,1,795.0,"Chicago, River West",1.0,8
1195,2,850.0,WASHINGTON PARK,1.0,5
1155,2,740.0,DOLTON,1.0,5
1070,1,646.0,Chatham,1.0,5
5000,2,2500.0,Chicago,2.0,5
1600,2,1200.0,North Center,1.0,3
1550,1,420.0,Rogers Park,1.0,6
1950,2,600.0,Edgewater,1.0,6
1620,2,850.0,Chicago,1.0,6
1150,0,325.0,Rogers Park,1.0,6
1350,2,1100.0,Chicago Heights,1.0,5
2369,1,1022.0,Lakeview East,1.0,5
1525,1,500.0,Winnetka,1.0,3
1900,1,817.0,University Village,1.0,5
2550,3,1600.0,Chicago,2.0,7
2700,3,1600.0,Avondale,3.0,7
2300,3,1320.0,Streamwood,1.5,0
1685,1,750.0,5900 N. Sheridan Rd.,1.0,3
3357,2,1320.0,city of chicago,2.0,5
1700,2,1042.0,Lombard,2.0,6
1403,1,550.0,Uptown Chicago,1.0,7
2095,3,1128.0,Arlington Heights,2.0,5
1500,1,750.0,Lakeview,1.0,6
1355,1,741.0,Lombard,1.0,6
1505,2,995.0,Lombard,1.0,6
3275,2,1158.0,city of chicago,2.0,5
1550,2,950.0,Des Plaines,1.0,7
1950,2,1200.0,Humboldt Park,1.0,5
1950,2,900.0,Ravenswood,1.0,5
2775,3,1600.0,Lincoln Park,2.0,5
1700,2,950.0,Wicker Park,1.0,5
1700,2,1200.0,Skokie,1.0,4
950,1,500.0,Oak Park,1.0,4
1950,2,1250.0,Vernon Hills,2.0,3
2700,3,1500.0,Wicker Park,2.0,6
2100,3,1250.0,Roscoe Village,2.0,5
1745,2,924.0,Arlington Heights,2.0,5
1450,2,850.0,"11022 S. Prospect, Unit 2-S, Chicago",1.0,5
3356,2,1320.0,city of chicago,2.0,5
1475,2,878.0,Lombard,1.0,6
1100,2,850.0,Pilsen,1.0,6
1000,1,1000.0,Portage Park,1.0,4
1200,2,900.0,Palatine,1.0,5
2300,2,1100.0,"WEST TOWN ,RIVERWEST, CHICAGO",2.0,7
2500,2,1300.0,25TH/ SCHILLER BLVD IN FRANKLIN PARK,1.0,5
1500,1,750.0,Sandburg Village,1.0,5
1250,1,500.0,4117 N. Wolcott #2,1.0,5
