price,bedroom,sqft,bathroom,amenity_count,cityID
899,0,637.0,0,3,7
930,1,600.0,1,5,7
1194,1,636.0,1,3,7
890,1,620.0,1,3,7
1388,1,729.0,1,6,7
925,1,714.0,1,7,7
1147,2,1076.0,2,7,7
920,1,640.0,1,8,7
1307,2,1230.0,2,7,7
972,1,772.0,1,7,7
1356,1,684.0,1,3,7
773,2,927.0,2,7,7
1499,2,997.0,2,3,7
1500,1,841.0,1,5,7
1445,2,1177.0,2,6,7
1266,0,604.0,0,3,7
829,1,575.0,1,5,7
1077,2,864.0,2,7,7
700,1,325.0,1,6,7
875,1,701.0,1,7,7
700,1,325.0,1,6,7
1599,2,960.0,2,3,7
1599,2,960.0,2,3,7
1599,2,960.0,2,3,7
1599,2,960.0,2,3,7
1599,2,960.0,2,3,7
772,1,813.0,1,7,7
999,2,910.0,2,3,7
895,1,640.0,1,8,7
917,1,687.0,1,8,7
1350,2,900.0,2,8,7
1292,2,1100.0,2,7,7
1029,1,685.0,1,7,7
1203,2,1100.0,2,3,7
1400,1,827.0,1,3,7
850,1,684.0,1,8,7
1670,2,1320.0,2,6,7
1475,3,1230.0,3,3,7
1900,4,1854.0,4,3,7
2150,4,2448.0,4,3,7
1400,1,890.0,1,3,7
1675,3,1591.0,3,3,7
1600,3,1470.0,3,3,7
1950,4,2377.0,4,3,7
1745,2,1319.0,2,7,7
1315,1,814.0,1,3,7
2150,4,2788.0,4,3,7
1595,3,1422.0,3,3,7
1950,3,1878.0,3,3,7
1450,3,1394.0,3,3,7
930,1,714.0,1,7,7
1600,3,1845.0,3,3,7
1800,3,1850.0,3,3,7
1325,1,756.0,1,3,7
1050,2,856.0,2,7,7
1675,3,1610.0,3,3,7
1385,1,662.0,1,5,7
822,1,722.0,1,7,7
825,1,615.0,1,6,7
1953,2,955.0,2,7,7
1140,1,820.0,1,8,7
1435,1,637.0,1,7,7
1145,1,737.0,1,8,7
749,0,236.0,0,9,7
1955,2,975.0,2,7,7
931,2,997.0,2,3,7
1399,2,950.0,2,3,7
999,1,236.0,1,8,7
2335,2,1140.0,2,8,7
774,0,228.0,0,9,7
1445,2,975.0,2,8,7
770,1,614.0,1,5,7
1034,2,1084.0,2,5,7
1009,2,610.0,2,3,7
1210,1,641.0,1,5,7
1017,2,866.0,2,7,7
900,1,640.0,1,8,7
1390,1,800.0,1,6,7
1050,1,635.0,1,3,7
815,1,599.0,1,7,7
932,1,682.0,1,7,7
1405,3,1150.0,3,8,7
1750,2,775.0,2,8,7
699,1,552.0,1,3,7
1599,2,960.0,2,3,7
2072,2,1046.0,2,3,7
1599,2,960.0,2,3,7
2072,2,1046.0,2,3,7
1059,1,756.0,1,3,7
1385,1,662.0,1,5,7
2072,2,1046.0,2,3,7
802,1,813.0,1,7,7
921,1,783.0,1,3,7
869,1,650.0,1,5,7
2072,2,1046.0,2,3,7
2072,2,1046.0,2,3,7
1250,1,690.0,1,3,7
2072,2,1046.0,2,3,7
2072,2,1046.0,2,3,7
2072,2,1046.0,2,3,7
2072,2,1046.0,2,3,7
2072,2,1046.0,2,3,7
875,1,615.0,1,3,7
2072,2,1046.0,2,3,7
2072,2,1046.0,2,3,7
2072,2,1046.0,2,3,7
2072,2,1046.0,2,3,7
949,1,795.0,1,3,7
2072,2,1046.0,2,3,7
2072,2,1046.0,2,3,7
2072,2,1046.0,2,3,7
2072,2,1046.0,2,3,7
1027,1,720.0,1,7,7
1120,2,860.0,2,8,7
1125,2,1020.0,2,6,7
899,0,637.0,0,3,7
1744,2,910.0,2,3,7
2074,3,1403.0,3,5,7
1700,4,2039.0,4,5,7
1650,4,2039.0,4,5,7
1650,4,2039.0,4,5,7
760,1,673.0,1,3,7
1050,2,950.0,2,8,7
917,1,687.0,1,8,7
752,1,722.0,1,7,7
1229,3,1414.0,3,2,7
879,1,796.0,1,3,7
1489,3,1570.0,3,2,7
799,1,610.0,1,3,7
937,1,800.0,1,7,7
1165,2,750.0,2,8,7
924,1,871.0,1,9,7
1250,2,830.0,2,3,7
815,1,700.0,1,9,7
1150,2,1000.0,2,3,7
850,1,600.0,1,3,7
799,1,650.0,1,9,7
845,1,600.0,1,3,7
1242,1,625.0,1,5,7
1150,2,1000.0,2,3,7
805,1,660.0,1,9,7
1150,2,1000.0,2,3,7
745,1,600.0,1,3,7
925,1,700.0,1,3,7
885,1,684.0,1,8,7
1160,2,918.0,2,7,7
770,1,614.0,1,5,7
853,1,826.0,1,9,7
1400,1,827.0,1,3,7
