price,bedroom,sqft,bathroom,amenity_count,cityID
1350,0,350.0,1,4,3
1350,0,550.0,1,5,3
2195,1,700.0,1,7,3
2485,1,646.0,1,3,3
1350,0,500.0,1,5,3
1949,2,872.0,1,3,3
1725,0,500.0,1,6,3
1450,0,400.0,1,7,3
3590,5,2960.0,3,5,3
4610,3,1469.0,2,6,3
1495,0,350.0,1,6,3
2550,2,843.0,1.5,3,3
2595,1,800.0,1,4,3
1950,0,300.0,1,5,3
3164,2,1062.0,2,3,3
2650,2,1000.0,1.5,3,3
1825,0,426.0,1,5,3
3095,3,1200.0,2,6,3
3880,2,1010.0,2,9,3
2250,2,1000.0,2,7,3
2495,2,945.0,2,6,3
2520,1,774.0,1,3,3
2300,2,979.0,1.5,6,3
1525,0,375.0,1,6,3
2999,2,900.0,1.5,7,3
3590,5,2960.0,3,5,3
2105,1,687.0,1,3,3
3292,1,870.0,1,5,3
2100,1,610.0,1,5,3
2550,2,843.0,2,5,3
1340,0,250.0,1,3,3
1725,1,650.0,1,6,3
1795,1,600.0,1,6,3
2595,1,610.0,1,4,3
3718,2,900.0,1,5,3
1635,2,844.0,1,3,3
1450,0,400.0,1,6,3
3377,2,1038.0,2,4,3
2502,2,842.0,2,3,3
2450,3,1100.0,2,5,3
2057,0,425.0,1,5,3
2950,2,923.0,2,9,3
1450,0,400.0,1,5,3
2718,2,943.0,2,3,3
2375,1,670.0,1,5,3
1995,1,650.0,1,6,3
2750,3,1224.0,2,8,3
2430,2,1033.0,2,7,3
2050,1,627.0,1,7,3
1395,0,450.0,1,6,3
1595,1,600.0,1,6,3
2110,0,419.0,1,6,3
1850,1,573.0,1,5,3
1550,0,400.0,1,6,3
3309,2,984.0,2,3,3
2095,0,450.0,1,7,3
1950,0,300.0,1,5,3
1695,0,300.0,1,5,3
1853,2,930.0,1,6,3
1335,0,400.0,1,6,3
1995,1,536.0,1,8,3
1850,1,600.0,1,6,3
1495,0,400.0,1,6,3
2999,2,955.0,2,5,3
1375,0,300.0,1,4,3
3228,2,1207.0,2,3,3
3700,2,1125.0,2,3,3
3755,2,924.0,2,5,3
2510,1,732.0,1,5,3
2200,1,800.0,1,5,3
2520,1,774.0,1,3,3
3739,2,975.0,1.5,5,3
4224,2,1300.0,2,5,3
2645,1,810.0,1,8,3
1700,2,1200.0,1.5,5,3
2700,1,684.0,1,3,3
1340,0,250.0,1,3,3
2528,2,811.0,1,3,3
2045,2,650.0,1,7,3
2695,0,460.0,1,6,3
1595,1,644.0,1,3,3
1806,1,800.0,1,6,3
2495,2,940.0,2,6,3
1942,1,579.0,1,3,3
