price,bedroom,sqft,bathroom,amenity_count
825,1,375.0,1,6
1350,2,860.0,1,3
1695,2,1035.0,1.5,3
1250,2,570.0,1,6
1250,3,1150.0,1.5,6
1660,1,620.0,1,6
1495,2,1050.0,2,5
1200,2,1200.0,1,5
1200,2,1200.0,1,5
1255,1,660.0,1,3
2500,4,500.0,2,6
1350,2,860.0,1,3
2380,2,925.0,1,6
3300,4,1500.0,3.5,3
1250,3,1150.0,1.5,6
1250,3,1150.0,1.5,6
1786,2,1183.0,2,7
1650,3,950.0,2,6
1250,1,860.0,1,0
1250,3,1150.0,1.5,6
2230,2,975.0,1,6
1250,3,1150.0,1.5,6
1250,3,1150.0,1.5,6
1245,1,750.0,1,5
825,1,1.0,1,5
1450,2,860.0,1,3
2785,2,926.0,1,6
1695,2,1035.0,1.5,3
1039,2,700.0,1,3
1289,2,850.0,1,3
1359,1,650.0,1,4
2150,2,1050.0,1,4
1999,2,1350.0,1.5,4
1635,2,700.0,1,4
1250,3,1150.0,1.5,6
2500,4,500.0,2,6
1275,1,640.0,1,3
2093,2,1213.0,2,7
910,1,550.0,1,6
960,1,550.0,1,5
1375,2,1300.0,2,5
950,1,800.0,1,5
910,1,550.0,1,5
910,1,550.0,1,5
910,1,550.0,1,4
950,1,800.0,1,5
950,1,800.0,1,5
950,1,800.0,1,5
950,1,800.0,1,5
910,1,550.0,1,5
910,1,550.0,1,5
950,1,800.0,1,5
910,1,550.0,1,6
950,1,800.0,1,5
910,1,550.0,1,5
960,1,550.0,1,6
950,1,800.0,1,5
950,1,800.0,1,5
950,1,800.0,1,5
960,1,550.0,1,5
980,1,800.0,1,5
910,1,800.0,1,5
980,1,800.0,1,4
1695,2,1035.0,1.5,3
960,1,550.0,1,5
910,1,550.0,1,5
1375,2,1300.0,2,5
960,1,550.0,1,5
950,1,800.0,1,5
950,1,800.0,1,5
1375,2,1300.0,2,5
1695,3,820.0,2,6
2702,3,1467.0,2,7
1628,1,580.0,1,6
1420,2,850.0,1,8
775,1,470.0,1,6
1265,1,750.0,1,5
1200,2,1200.0,1,6
2200,2,975.0,1,6
1255,1,660.0,1,3
869,3,726.0,1,3
1180,1,640.0,1,3
1930,2,1020.0,2,6
1695,4,700.0,2,6
795,1,1000.0,1,5
1280,2,850.0,1,6
1795,4,1075.0,2.5,6
2178,2,1213.0,2,7
1250,2,1000.0,1,3
975,2,500.0,1,6
825,1,1.0,1,5
1050,2,800.0,1,7
2208,2,1213.0,2,7
2785,2,976.0,1,6
1125,3,2660.0,1.5,6
1254,2,665.0,1,6
1475,3,1166.0,2,6
1495,2,1050.0,2,5
1255,1,660.0,1,3
889,2,825.0,1,6
1563,1,818.0,1,7
1180,1,640.0,1,3
1200,3,1300.0,1,6
1628,1,580.0,1,6
1280,1,776.0,1,7
1620,3,1194.0,2,7
1900,3,1321.0,2,7
1200,3,1300.0,1,7
1955,2,1020.0,2,6
925,2,900.0,1,5
899,2,900.0,1,5
1000,1,800.0,1,4
1265,1,750.0,1,3
925,2,900.0,1,5
1695,1,893.0,1,7
725,1,650.0,1,5
1000,1,1090.0,1,6
889,2,800.0,1,6
889,2,800.0,1,6
1395,2,810.0,1,6
739,1,650.0,1,6
1150,3,1200.0,1,5
759,1,700.0,1,6
1150,3,1200.0,1,5
1200,2,955.0,1,6
1200,3,1300.0,1,6
2230,2,975.0,1,6
1407,1,573.0,1,7
795,2,1000.0,1,4
825,3,1200.0,1,3
1250,3,1150.0,1.5,6
1695,3,1200.0,1,6
1180,1,640.0,1,3
1800,1,745.0,1,6
1950,2,1200.0,1,6
1795,4,1075.0,2.5,6
1255,1,660.0,1,3
1955,2,1020.0,2,6
1265,1,750.0,1,5
505,0,426.0,1,3
2193,2,1213.0,2,7
1250,3,1150.0,1.5,6
1250,3,1150.0,1.5,6
815,1,500.0,1,6
2017,2,1048.0,2,7
1595,1,1080.0,1,6
1000,1,463.0,1,3
895,1,600.0,1,4
1050,2,711.0,1,3
1000,1,463.0,1,3
1250,3,1150.0,1.5,6
1250,3,1150.0,1.5,6
1250,3,1150.0,1.5,6
1250,3,1150.0,1.5,6
2175,2,975.0,1,6
1250,3,1150.0,1.5,6
1250,3,1150.0,1.5,6
1867,2,968.0,2,7
1195,3,1754.0,1,5
799,0,350.0,1,6
1555,2,965.0,1,3
1450,2,860.0,1,3
1255,1,660.0,1,3
895,1,625.0,1,6
2230,2,975.0,1,6
1350,2,860.0,1,3
1505,2,965.0,1,3
2300,2,925.0,1,6
3000,7,2900.0,3,3
1515,2,1050.0,2,3
1250,2,570.0,1,6
1450,2,860.0,1,8
1628,1,580.0,1,6
2230,2,975.0,1,6
1245,1,750.0,1,5
1180,1,640.0,1,8
1515,2,1050.0,2,3
2500,4,500.0,2,6
1295,3,1040.0,2,5
1395,4,1282.0,1,5
1295,3,1344.0,1.5,5
1195,3,1848.0,1.5,5
1195,3,1144.0,1,5
1275,1,640.0,1,3
2230,2,975.0,1,6
2230,2,975.0,1,6
1350,2,860.0,1,3
1345,1,750.0,1,3
1750,3,1012.0,2,6
1515,2,1050.0,2,3
1215,1,640.0,1,3
875,1,415.0,1,6
1605,1,620.0,1,6
1495,5,2300.0,1.5,5
2175,2,975.0,1,6
1495,2,1050.0,2,3
1180,1,640.0,1,3
1495,3,810.0,2,6
1955,2,1020.0,2,6
1500,2,1094.0,1.5,4
850,2,930.0,1,5
900,2,921.0,1,3
895,1,625.0,1,6
1255,1,660.0,1,3
1265,1,750.0,1,3
1750,3,1012.0,2,6
1660,1,620.0,1,6
1345,1,750.0,1,5
825,0,450.0,1,5
1605,1,620.0,1,6
1375,3,1100.0,1.5,0
125,0,400.0,shared,3
1255,1,660.0,1,3
1515,2,1050.0,2,5
1475,1,1000.0,1,6
795,0,325.0,1,6
1515,2,1050.0,2,5
2175,2,975.0,1,6
1955,2,1020.0,2,6
1250,3,1150.0,1.5,6
1515,2,1050.0,2,5
1250,3,1150.0,1.5,6
1250,3,1150.0,1.5,6
1250,3,1150.0,1.5,6
1395,2,810.0,1,6
1295,2,850.0,1,3
1350,2,850.0,1,3
1750,3,1012.0,2,6
850,2,750.0,1,4
1695,2,1035.0,1.5,3
2099,3,2253.0,2,5
1660,1,620.0,1,6
894,0,450.0,1,5
1299,1,894.0,1,5
799,0,382.0,1,5
1265,1,750.0,1,5
1750,3,1012.0,2,6
1044,1,1.0,1,3
1375,2,1300.0,2,4
960,1,550.0,1,4
1180,2,850.0,1,6
1350,2,750.0,1,5
1628,1,580.0,1,6
1795,4,1075.0,2.5,6
1150,2,1000.0,1,5
1790,2,1200.0,2,8
1350,2,1728.0,1,8
925,2,900.0,1,5
860,1,544.0,1,0
1360,2,874.0,1,11
1660,1,620.0,1,6
1500,2,1440.0,1,3
1350,2,860.0,1,3
1375,3,1100.0,1.5,0
1605,1,620.0,1,6
1495,2,1050.0,2,5
1468,1,573.0,1,7
869,3,726.0,1,3
1300,2,700.0,1,3
960,3,1365.0,2,9
889,2,900.0,1,6
1200,3,1300.0,1,5
739,1,650.0,1,6
759,1,700.0,1,6
2785,2,976.0,1,6
1180,1,640.0,1,3
1746,2,968.0,2,7
1000,3,1600.0,1,3
825,1,375.0,1,6
620,1,665.0,1,3
1695,2,1035.0,1.5,3
750,2,450.0,1,4
1515,2,1050.0,2,5
1250,3,1150.0,1.5,6
1250,3,1150.0,1.5,6
775,1,470.0,1,6
2283,2,1633.0,2,7
1000,1,800.0,1,4
1375,2,1300.0,2,4
1375,2,1300.0,2,4
1970,2,1116.0,2,7
825,2,900.0,1,8
1955,2,1020.0,2,6
889,2,800.0,1,6
1200,3,1300.0,1,6
925,2,900.0,1,5
1000,1,800.0,1,4
2785,2,926.0,1,6
950,0,1.0,1,3
1044,1,1.0,1,3
1255,1,660.0,1,3
1150,3,1200.0,1,5
950,0,1.0,1,3
1820,1,794.0,1,8
2283,2,1633.0,2,7
1250,3,1150.0,1.5,6
975,1,575.0,1,6
1195,3,1754.0,1.5,5
1250,3,1150.0,1.5,6
3000,3,1554.0,2,6
1250,3,1150.0,1.5,5
1375,2,1300.0,2,4
1200,3,1728.0,1.5,7
1250,3,1968.0,2,7
1350,3,1360.0,1,5
700,1,250.0,1,5
700,1,450.0,1,5
750,1,450.0,1,5
1495,2,1050.0,2,5
1605,1,620.0,1,6
1350,2,860.0,1,3
1660,1,620.0,1,6
1495,2,1050.0,2,5
1468,1,573.0,1,7
2230,2,975.0,1,6
505,0,426.0,1,3
869,3,726.0,1,3
1600,2,1632.0,1,5
1050,2,615.0,1,6
1265,1,750.0,1,5
2702,3,1467.0,2,7
1350,2,1728.0,1,8
1436,1,573.0,1,7
2785,2,976.0,1,6
1795,4,1075.0,2.5,6
1255,1,660.0,1,3
1255,1,660.0,1,3
1265,1,750.0,1,5
2534,2,1522.0,2,7
2200,2,975.0,1,6
815,1,500.0,1,6
1265,1,750.0,1,5
1450,2,860.0,1,3
1495,2,1050.0,2,5
1660,1,620.0,1,6
1350,2,860.0,1,8
1275,1,640.0,1,5
2702,3,1467.0,2,7
1955,2,1020.0,2,6
1750,3,1012.0,2,6
1515,2,1050.0,2,5
815,1,500.0,1,6
1600,2,1035.0,1.5,8
2200,2,975.0,1,6
1275,1,640.0,1,5
1536,1,717.0,1,7
975,2,500.0,1,6
1515,2,1050.0,2,5
1180,1,640.0,1,3
1628,1,580.0,1,6
1750,3,1012.0,2,6
2162,2,1633.0,2,7
1555,2,965.0,1,5
1515,2,1050.0,2,3
1180,1,640.0,1,3
