price,bedroom,sqft,bathroom,amenity_count,cityID
1529,2,1077.0,2.0,10,9
1402,1,817.0,1.0,10,9
1515,1,922.0,1.0,6,9
1530,2,1025.0,2.0,9,9
1255,1,727.0,1.0,7,9
1150,0,383.0,1.0,9,9
1492,2,1077.0,2.0,10,9
1500,2,1017.0,1.0,7,9
1700,3,1850.0,2.0,6,9
1566,2,1140.0,2.0,8,9
1355,2,1001.0,2.0,7,9
1440,2,857.0,1.0,7,9
1402,1,736.0,1.0,7,9
1345,2,931.0,1.0,6,9
1200,2,740.0,1.0,7,9
1446,2,1025.0,2.0,8,9
1254,1,745.0,1.0,7,9
1565,1,917.0,1.0,4,9
1276,1,719.0,1.0,7,9
1276,1,719.0,1.0,7,9
1600,2,978.0,1.0,3,9
2080,3,1187.0,2.0,9,9
1750,3,1187.0,2.0,9,9
1735,3,1187.0,2.0,10,9
1318,1,817.0,1.0,9,9
1315,1,817.0,1.0,10,9
1635,2,1027.0,2.0,3,9
1635,2,573.0,1.0,6,9
995,0,600.0,1.0,4,9
1495,2,956.0,2.0,6,9
1090,0,500.0,1.0,7,9
1260,2,955.0,1.0,6,9
1904,3,1102.0,2.0,8,9
2095,3,1498.0,2.0,6,9
1276,1,719.0,1.0,7,9
1150,0,600.0,1.0,7,9
1738,2,1027.0,2.0,7,9
1300,0,574.0,1.0,6,9
1925,3,1316.0,2.0,7,9
1449,1,760.0,1.0,8,9
1399,1,782.0,1.0,7,9
1915,3,1227.0,2.0,7,9
2168,2,1085.0,2.0,8,9
1466,2,1025.0,2.0,8,9
1276,1,719.0,1.0,3,9
1695,3,1296.0,2.0,3,9
1650,2,1050.0,2.0,8,9
1862,3,1190.0,2.0,7,9
1150,0,600.0,1.0,7,9
1446,2,1025.0,2.0,8,9
1276,1,719.0,1.0,7,9
1255,1,727.0,1.0,7,9
1566,2,1140.0,2.0,8,9
1100,2,795.0,1.0,9,9
1460,2,984.0,2.0,7,9
1150,0,600.0,1.0,7,9
1446,2,1025.0,2.0,8,9
1566,2,1140.0,2.0,8,9
1460,2,984.0,2.0,7,9
1566,2,1140.0,2.0,8,9
1460,2,984.0,2.0,7,9
1566,2,1140.0,2.0,8,9
1400,1,755.0,1.0,8,9
1255,1,727.0,1.0,7,9
1446,2,1025.0,2.0,8,9
1660,2,1104.0,2.0,8,9
900,1,850.0,1.0,3,9
1566,2,1140.0,2.0,8,9
1400,1,755.0,1.0,8,9
1460,2,984.0,2.0,7,9
2118,3,1230.0,2.0,7,9
1495,2,956.0,2.0,6,9
1260,2,955.0,1.0,6,9
2050,3,1401.0,2.5,6,9
1444,2,1063.0,2.0,7,9
