price,bedroom,sqft,neighborhood,bathroom,amenity_count,cityID
1350,0,350.0,2946 W. 14TH STREET,1,4,3
1350,0,550.0,2946 W. 14TH STREET,1,5,3
2195,1,700.0,"1738 N. Canyon Dr, Los Angeles, CA",1,7,3
2485,1,646.0,"909 W. Temple St. , Los Angeles, CA",1,3,3
1350,0,500.0,"1039 W. 58th Street, Los Angeles",1,5,3
1949,2,872.0,"38300 30th Street East, Palmdale, CA",1,3,3
1725,0,500.0,Van Nuys/Lake Balboa ADJ,1,6,3
1450,0,400.0,Mid-Wilshire/ Koreatown,1,7,3
3590,5,2960.0,"37440 Kimberly Lane , Palmdale CA",3,5,3
4610,3,1469.0,"11805 Laurelwood Dr, Los Angeles, CA",2,6,3
1495,0,350.0,Mid-Wilshire and Koreatown,1,6,3
2550,2,843.0,Canyon Country,1.5,3,3
2595,1,800.0,Beverly Hills Adjacent,1,4,3
1950,0,300.0,"4041 Arch Dr, Studio City, CA",1,5,3
3164,2,1062.0,"1221 W. 3rd St. , Los Angeles, CA",2,3,3
2650,2,1000.0,"1541 N. Formosa Ave., #5 LA, Ca",1.5,3,3
1825,0,426.0,Studio City,1,5,3
3095,3,1200.0,Panorama City,2,6,3
3880,2,1010.0,North Hollywood,2,9,3
2250,2,1000.0,Van Nuys,2,7,3
2495,2,945.0,"21041 Parthenia St. , Canoga Park, CA",2,6,3
2520,1,774.0,long beach / 562,1,3,3
2300,2,979.0,"43267 20Th St. West , Lancaster, CA",1.5,6,3
1525,0,375.0,Hollywood,1,6,3
2999,2,900.0,"3250 Fairesta St, La Crescenta, CA",1.5,7,3
3590,5,2960.0,"37440 Kimberly Lane , Palmdale CA `",3,5,3
2105,1,687.0,central LA 213/323,1,3,3
3292,1,870.0,"550 South Barrington Avenue, Los Angeles, CA",1,5,3
2100,1,610.0,Burbank,1,5,3
2550,2,843.0,Canyon Country,2,5,3
1340,0,250.0,"4077 West 3rd Street, Los Angeles, CA",1,3,3
1725,1,650.0,Winnetka,1,6,3
1795,1,600.0,Hollywood,1,6,3
2595,1,610.0,Woodland Hills,1,4,3
3718,2,900.0,"415 Gayley Ave, Los Angeles, CA",1,5,3
1635,2,844.0,"43230 Gadsden Avenue, Lancaster, CA",1,3,3
1450,0,400.0,Mid-Wilshire and Koreatown,1,6,3
3377,2,1038.0,"1026 S Broadway, Los Angeles, CA",2,4,3
2502,2,842.0,"930 Figuroa Terrace, Los Angeles, CA",2,3,3
2450,3,1100.0,Canoga Park,2,5,3
2057,0,425.0,"3205 Los Feliz Boulevard, Los Angeles, CA",1,5,3
2950,2,923.0,North Hollywood,2,9,3
1450,0,400.0,Mid-Wilshire and Koreatown,1,5,3
2718,2,943.0,"505 N. Figueroa St., Los Angeles, CA",2,3,3
2375,1,670.0,"17171 West Roscoe Boulevard, Los Angeles, CA",1,5,3
1995,1,650.0,Mid-Wilshire and Koreatown,1,6,3
2750,3,1224.0,Long Beach,2,8,3
2430,2,1033.0,"18414 W. Jakes Way, Canyon Country, CA",2,7,3
2050,1,627.0,"10025 De Soto Ave, Chatsworth, CA",1,7,3
1395,0,450.0,Mid-Wilshire and Koreatown,1,6,3
1595,1,600.0,Mid-Wilshire and Koreatown,1,6,3
2110,0,419.0,"4500 Woodman Ave, Los Angeles, CA",1,6,3
1850,1,573.0,"18520 Vincennes St, Northridge, CA",1,5,3
1550,0,400.0,Hollywood,1,6,3
3309,2,984.0,"616 St. Paul Ave., Los Angeles, CA",2,3,3
2095,0,450.0,"1738 N. Canyon Dr, Los Angeles, CA",1,7,3
1950,0,300.0,"4041 Arch Dr, Studio City, CA",1,5,3
1695,0,300.0,Pico Rivera,1,5,3
1853,2,930.0,Venice,1,6,3
1335,0,400.0,Mid-Wilshire and Koreatown,1,6,3
1995,1,536.0,"9500 Zelzah Avenue, Los Angeles, CA",1,8,3
1850,1,600.0,Hollywood,1,6,3
1495,0,400.0,Mid-Wilshire and Koreatown,1,6,3
2999,2,955.0,san gabriel valley,2,5,3
1375,0,300.0,Koreatown/Los Angeles,1,4,3
3228,2,1207.0,san fernando valley,2,3,3
3700,2,1125.0,"11070 Strathmore Dr, Los Angeles, CA",2,3,3
3755,2,924.0,"4600 Vía Marina, Marina del Rey, CA",2,5,3
2510,1,732.0,ava studio city,1,5,3
2200,1,800.0,Tarzana,1,5,3
2520,1,774.0,long beach / 562,1,3,3
3739,2,975.0,"415 Gayley Ave, Los Angeles, CA",1.5,5,3
4224,2,1300.0,"550 South Barrington Avenue, Los Angeles, CA",2,5,3
2645,1,810.0,"3767 Clarington Avenue, Los Angeles, CA",1,8,3
1700,2,1200.0,Mid City,1.5,5,3
2700,1,684.0,central LA 213/323,1,3,3
1340,0,250.0,"4077 West 3rd Street, Los Angeles, CA",1,3,3
2528,2,811.0,"8121 Broadway Blvd, Los Angeles, CA",1,3,3
2045,2,650.0,San Pedro,1,7,3
2695,0,460.0,Westwood / Near UCLA,1,6,3
1595,1,644.0,"43230 Gadsden Avenue, Lancaster, CA",1,3,3
1806,1,800.0,san fernando valley,1,6,3
2495,2,940.0,"21041 Parthenia St. , Canoga Park, CA",2,6,3
1942,1,579.0,"930 Figuroa Terrace , Los Angeles, CA",1,3,3
3074,2,943.0,"505 N. Figueroa St., Los Angeles, CA",2,3,3
2650,2,1081.0,Close to Ventura Blvd.,2,6,3
1899,2,872.0,"38300 30th Street East, Palmdale, CA",1,3,3
3200,2,1200.0,Los Angeles - University Park,2,5,3
2545,1,815.0,"300 N Beaudry Ave, Los Angeles, CA",1,7,3
1878,1,704.0,"27303 N. Sara St., Canyon Country, CA",1,3,3
2249,2,1018.0,"43530 Gadsden Avenue , Lancaster, CA",2.5,3,3
1825,0,400.0,South of Ventura Boulevard,1,6,3
2210,0,478.0,"1026 S Broadway, Los Angeles, CA",1,4,3
2005,1,750.0,West Hills,1,3,3
2195,1,800.0,Moments to Ventura Boulevard,1,7,3
2005,1,750.0,West Hills,1,3,3
2200,1,874.0,"CalTech , Pasadena",1,8,3
2005,1,750.0,West Hills,1,3,3
3178,2,1179.0,san fernando valley,2,3,3
3234,1,682.0,san fernando valley,1,9,3
2962,2,858.0,"909 W. Temple St. , Los Angeles, CA",2,3,3
1595,2,895.0,"700 W Ave I, Lancaster, CA",2,6,3
1910,1,627.0,"10025 De Soto Ave, Chatsworth, CA",1,7,3
3300,3,1203.0,"28923 N. Prarie Ln, Santa Clarita, CA",2.5,7,3
2331,1,382.0,"1447 Lincoln Blvd, Santa Monica, CA",1,6,3
2095,1,800.0,Van Nuys,1,6,3
1996,1,751.0,West Covina,1,8,3
2365,1,650.0,"17171 West Roscoe Boulevard, Los Angeles, CA",1,3,3
1795,0,395.0,san gabriel valley,1,5,3
2495,1,847.0,Near Ventura Blvd,1,7,3
3309,2,984.0,"616 St. Paul Ave., Los Angeles, CA",2,3,3
