date,title,link,price,bedroom,sqft,neighborhood,bathroom,amenities
1/17,"Resident Rewards Program, Ceramic Tiled Baths, Two Spas",https://phoenix.craigslist.org/evl/apa/d/mesa-resident-rewards-program-ceramic/7571390055.html,"$1,265",1br,782,"843 South Longmore Street, Mesa, AZ",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/17,"Washer & Dryer, Detached Garage, Upgraded Interior",https://phoenix.craigslist.org/wvl/apa/d/tempe-washer-dryer-detached-garage/7570273780.html,"$1,446",2br,811,west valley,1,"['apartment', 'w/d in unit', 'detached garage', 'rent period: monthly']"
1/17,BBQ/picnic area,https://phoenix.craigslist.org/evl/apa/d/tempe-bbq-picnic-area/7569945343.html,"$1,439",1br,720,east valley,1,"['apartment', 'w/d in unit', 'carport', 'rent period: monthly']"
1/17,"Clubhouse with Free Wi-Fi, Stainless Steel Appliances, Ceiling fan",https://phoenix.craigslist.org/evl/apa/d/tempe-clubhouse-with-free-wi-fi/7577864645.html,"$1,755",2br,1167,east valley,2,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'carport', 'rent period: monthly']"
1/17,High Vaulted Ceilings In Your New Beautiful 3 Bedroom Apartment Home,https://phoenix.craigslist.org/cph/apa/d/phoenix-high-vaulted-ceilings-in-your/7572400767.html,"$1,970",3br,1200,"15815 S LAKEWOOD PKWY W, PHOENIX, AZ",2,"['air conditioning', 'application fee details: Application Fee: $50 (Anyone applying that is 18 or older).', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'carport', 'rent period: monthly']"
1/17,"3B/2B, Crown molding, Located in Chandler",https://phoenix.craigslist.org/cph/apa/d/chandler-3b-2b-crown-molding-located-in/7574549796.html,"$2,273",3br,1320,central/south phx,2,"['apartment', 'w/d in unit', 'carport', 'rent period: monthly']"
1/17,"2/BD 2/BA, Built-in linen closet",https://phoenix.craigslist.org/wvl/apa/d/phoenix-bd-ba-built-in-linen-closet/7569673487.html,"$1,598",2br,996,"13625 South 48th Street, Phoenix, AZ",2,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'carport', 'rent period: monthly']"
1/17,"Walk-in Closets, Garages Available, Online Payments Available",https://phoenix.craigslist.org/evl/apa/d/tempe-walk-in-closets-garages-available/7578259558.html,"$1,710",2br,1040,east valley,2,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'carport', 'rent period: monthly']"
1/17,"2BD 2BA, Spacious pantries",https://phoenix.craigslist.org/evl/apa/d/chandler-2bd-2ba-spacious-pantries/7578256768.html,"$1,653",2br,960,east valley,2,"['apartment', 'w/d in unit', 'carport', 'rent period: monthly']"
1/17,"Two Spas, Dog Park, Separate Dining Area",https://phoenix.craigslist.org/evl/apa/d/mesa-two-spas-dog-park-separate-dining/7571332474.html,"$1,550",2br,1009,"843 South Longmore Street, Mesa, AZ",2,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'carport', 'rent period: monthly', 'wheelchair accessible']"
