date,title,link,price,bedroom,sqft,neighborhood,bathroom,amenities
Jan 10,Brighton Park Studio Apartment for Rent,https://chicago.craigslist.org/chc/apa/d/chicago-brighton-park-studio-apartment/7577197405.html,$675,0br,600,Brighton Park Chicago,1,"['application fee details: Application fee for background & credit check', 'apartment', 'no laundry on site', 'no smoking', 'street parking', 'rent period: monthly', 'wheelchair accessible']"
Jan 10,South Oak Park Apartment,https://chicago.craigslist.org/nwc/apa/d/oak-park-south-oak-park-apartment/7577194028.html,"$1,800",3br,1500,Oak Park,1,"['apartment', 'laundry in bldg', 'detached garage', 'rent period: monthly']"
Jan 10,1 Bedroom House Near Griffith,https://chicago.craigslist.org/nwi/apa/d/gary-bedroom-house-near-griffith/7577192992.html,$925,1br,750,Griffith/Calumet Township,1,"['air conditioning', 'house', 'w/d hookups', 'off-street parking', 'rent period: monthly']"
Jan 10,"GORGEOUS 1 Bedroom in West Loop! W/D in Unit, Gym, Pool plus more!",https://chicago.craigslist.org/chc/apa/d/chicago-gorgeous-bedroom-in-west-loop-d/7577192861.html,"$2,260",1br,,West Loop,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
Jan 10,All new renovation! Ample natural light!,https://chicago.craigslist.org/chc/apa/d/chicago-all-new-renovation-ample/7577191039.html,"$1,050",0br,500,Lakeview,1,"['air conditioning', 'cats are OK - purrr', 'apartment', 'laundry on site', 'off-street parking', 'rent period: monthly']"
Jan 10,"Medical District 1 Bedroom! In unit Laundry, Close to CTA, UIC",https://chicago.craigslist.org/chc/apa/d/chicago-medical-district-bedroom-in/7577179735.html,"$2,030",1br,,Medical District,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
Jan 10,REHABBED 3 Bed 2 Bath in Southport Corridor!,https://chicago.craigslist.org/chc/apa/d/chicago-rehabbed-bed-bath-in-southport/7577170056.html,"$3,600",3br,,Lakeview,2,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'street parking', 'rent period: monthly']"
Jan 10,BRAND NEW 3 BED 2 BATH IN THE HEART OF PALMER SQAURE,https://chicago.craigslist.org/chc/apa/d/chicago-brand-new-bed-bath-in-the-heart/7577167597.html,"$2,990",3br,,Palmer Square,2,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'street parking', 'rent period: monthly']"
Jan 10,"Sunny Lake View apt near Red Line!, On-Site W/D, Central A/C",https://chicago.craigslist.org/chc/apa/d/chicago-sunny-lake-view-apt-near-red/7577160229.html,"$3,100",3br,,Lakeview,2,"['cats are OK - purrr', 'apartment', 'laundry in bldg', 'street parking', 'rent period: monthly']"
Jan 10,South Loop Luxury 2 Bedroom Apartment in Printers Row,https://chicago.craigslist.org/chc/apa/d/chicago-south-loop-luxury-bedroom/7577157288.html,"$2,993",2br,1158,city of chicago,2,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
Jan 10,"River North 1-Bed with amazing amenities! Red Line, Location and Food.",https://chicago.craigslist.org/chc/apa/d/chicago-river-north-bed-with-amazing/7577140424.html,"$2,155",1br,,River North,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
Jan 10,"Massive 2-Bedroom Loft. Condo Quality Units, CTA and Great Location.",https://chicago.craigslist.org/chc/apa/d/chicago-massive-bedroom-loft-condo/7577133451.html,"$2,485",2br,,Uptown,2.5,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
Jan 10,Prepare to live in luxury at Residences at Arlington Heights! Call us today!,https://chicago.craigslist.org/nwc/apa/d/arlington-heights-prepare-to-live-in/7577132378.html,"$1,665",2br,864,Arlington Heights,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d hookups', 'street parking', 'rent period: monthly']"
Jan 10,"Stunning 1 Bedroom, 1 Bath in Lakeview, Available: 3/1/2023",https://chicago.craigslist.org/chc/apa/d/chicago-stunning-bedroom-bath-in/7577124657.html,"$1,795",1br,700,Lakeview,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'street parking', 'rent period: monthly']"
Jan 10,Logan Sq. Two Bedroom Plus Office in Quiet Building,https://chicago.craigslist.org/chc/apa/d/chicago-logan-sq-two-bedroom-plus/7577123906.html,"$1,500",2br,1000,Chicago,1,"['application fee details: $60', 'apartment', 'laundry on site', 'no smoking', 'no parking', 'rent period: monthly']"
Jan 10,"Praiseworthy 1 Bedroom, 1 Bath in Lincoln Park, Available: Now",https://chicago.craigslist.org/chc/apa/d/chicago-praiseworthy-bedroom-bath-in/7577122641.html,"$1,850",1br,700,Lincoln Park,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'off-street parking', 'rent period: monthly']"
Jan 10,"Heavenly 1 Bedroom, 1 Bath in Lincoln Park, Available: Now",https://chicago.craigslist.org/chc/apa/d/chicago-heavenly-bedroom-bath-in/7577122197.html,"$1,850",1br,700,Lincoln Park,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'off-street parking', 'rent period: monthly']"
Jan 10,"Unbelievably Sharp 3 Bedroom, 1 Bath in Roscoe Village, Available: 2/1/2023",https://chicago.craigslist.org/chc/apa/d/chicago-unbelievably-sharp-bedroom-bath/7577120829.html,"$2,795",3br,1500,Roscoe Village,1,"['apartment', 'laundry in bldg', 'detached garage', 'rent period: monthly']"
Jan 10,"Great Location! 1/1, W/D, River North, Pool, Fitness Center, CTA.",https://chicago.craigslist.org/chc/apa/d/chicago-great-location-1-d-river-north/7577120219.html,"$2,240",1br,,River North,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
Jan 10,3 Bed/2Bath Duplex~ Central Heat/AC~ In Unit Washer/Dryer! Deck!,https://chicago.craigslist.org/chc/apa/d/chicago-bed-2bath-duplex-central-heat/7577120108.html,"$3,490",3br,,East Lakeview/Wrigleyville,2,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'carport', 'rent period: monthly']"
Jan 10,"Gorgeous Convertible 1-Bed Logan Square! Great Location, New Building",https://chicago.craigslist.org/chc/apa/d/chicago-gorgeous-convertible-bed-logan/7577119715.html,"$1,845",1br,,Logan Square,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
Jan 10,3BD 1BA Apartment Available 03/27! Amazing Price & Amazing Location!!,https://chicago.craigslist.org/chc/apa/d/chicago-3bd-1ba-apartment-available/7577118865.html,"$2,750",3br,,city of chicago,1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'off-street parking', 'rent period: monthly']"
Jan 10,"1br - 315ft2 - Woodspring Suites, New Guest Check In Special Going FAS",https://chicago.craigslist.org/sox/apa/d/tinley-park-1br-315ft2-woodspring/7577118795.html,"$1,200",1br,315,Tinley Park,1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'furnished', 'apartment', 'laundry in bldg', 'no smoking', 'off-street parking', 'rent period: monthly', 'wheelchair accessible']"
