date,title,link,price,bedroom,sqft,neighborhood,bathroom,amenities
1/11,"Gated Community, Pet Park, Black Appliance Packages Available",https://houston.craigslist.org/apa/d/houston-gated-community-pet-park-black/7568580097.html,$822,1br,722,"8323 Cinnamon Ln, Houston, TX",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/11,"All New Energy Efficient A/C Units, Playground, Laundry Facilities",https://houston.craigslist.org/apa/d/houston-all-new-energy-efficient-c/7573016764.html,"$1,212",2br,1076,"7000 Fonvilla St, Houston, TX",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/11,"Energy-efficient appliances, Elevators, Elevate Fitness Experience",https://houston.craigslist.org/apa/d/houston-energy-efficient-appliances/7574993458.html,"$1,390",1br,850,,1,"['apartment', 'w/d in unit', 'detached garage', 'rent period: daily']"
1/11,"Reserved Parking, Covered Parking, Courtyard Views",https://houston.craigslist.org/apa/d/houston-reserved-parking-covered/7573353511.html,"$1,055",2br,860,"7511 Beechnut Street, Houston, TX",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/11,"Air Conditioning, New Bathtubs and Surrounds, On-Site Courtesy Patrol",https://houston.craigslist.org/apa/d/houston-air-conditioning-new-bathtubs/7574211902.html,$795,1br,684,"6833 Beechnut Street, Houston, TX",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/10,"Fully furnished, Sparkling pool, Bad Credit Ok",https://houston.craigslist.org/apa/d/houston-fully-furnished-sparkling-pool/7572296889.html,$278,1br,,,1,"['apartment', 'laundry on site', 'off-street parking', 'rent period: weekly']"
1/10,"Walk-In Closets, Quaint Neighborhood, Hardwood Style Flooring",https://houston.craigslist.org/apa/d/houston-walk-in-closets-quaint/7570488544.html,"$1,259",2br,1129,"7000 Fonvilla St, Houston, TX",1.5,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/10,"Picnic Area and Grilling Area, Bilingual Staff, Playground",https://houston.craigslist.org/apa/d/houston-picnic-area-and-grilling-area/7575614615.html,$987,1br,800,"6700 Chimney Rock Rd, Houston, TX",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'off-street parking', 'rent period: monthly', 'wheelchair accessible']"
1/10,Get your application in today to get free rent until February 2023*,https://houston.craigslist.org/apa/d/baytown-get-your-application-in-today/7570031228.html,"$1,059",2br,995,"1601 Garth Rd, Baytown, TX",1.5,"['apartment', 'w/d hookups', 'street parking', 'rent period: monthly']"
1/10,"Yoga Room (Coming Soon!), On-Site Maintenance, Smoke-Free Building",https://houston.craigslist.org/apa/d/houston-yoga-room-coming-soon-on-site/7575792945.html,$799,,305,"14703 Park Row, Houston, TX",1,"['apartment', 'no laundry on site', 'off-street parking', 'rent period: monthly']"
1/10,Rice military mansion w pool,https://houston.craigslist.org/apa/d/houston-rice-military-mansion-pool/7577211459.html,"$6,000",3br,3000,Rice military,3.5,"['furnished', 'townhouse', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly']"
1/10,"Pet Friendly Community, Spacious Cabinets, Laundry Facilities",https://houston.craigslist.org/apa/d/houston-pet-friendly-community-spacious/7571312022.html,"$1,077",2br,864,"5810 Fondren Rd, Houston, TX",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/10,"Gated Community, New Energy Efficient Windows, Covered Parking",https://houston.craigslist.org/apa/d/houston-gated-community-new-energy/7572850068.html,$920,1br,640,"7511 Beechnut Street, Houston, TX",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/10,"Refrigerator, Clubhouse, Hardwood Floors",https://houston.craigslist.org/apa/d/houston-refrigerator-clubhouse-hardwood/7570056870.html,"$1,000",2br,810,,1,"['apartment', 'laundry on site', 'off-street parking', 'rent period: monthly']"
1/10,"Built-In Wine Racks, Stainless Steel Appliances, Upgraded Lighting",https://houston.craigslist.org/apa/d/houston-built-in-wine-racks-stainless/7575575953.html,"$1,490",1br,1025,,1,"['apartment', 'w/d in unit', 'detached garage', 'rent period: daily']"
1/10,"Pet Park, Spacious Cabinets and Countertops, Laundry Facilities",https://houston.craigslist.org/apa/d/houston-pet-park-spacious-cabinets-and/7568692735.html,$867,2br,864,"8323 Cinnamon Ln, Houston, TX",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'carport', 'rent period: monthly', 'wheelchair accessible']"
