date,title,link,price,bedroom,sqft,neighborhood,bathroom,amenities
1/9,"UPGRADED 1BED- AMAZING POOL VIEW! GYM, PARKING, 3 LAUNDRY ROOMS",https://losangeles.craigslist.org/sfv/apa/d/northridge-upgraded-1bed-amazing-pool/7576103722.html,"$2,295",1br,650,"17171 West Roscoe Boulevard, Los Angeles, CA",1,"['open house dates', 'sunday 2023-01-08', 'monday 2023-01-09', 'tuesday 2023-01-10']"
1/9,"Laundry Facilities, Covered Parking, On-Site Maintenance",https://losangeles.craigslist.org/lac/apa/d/los-angeles-laundry-facilities-covered/7568784794.html,"$1,950",,500,"2711 Ellendale Pl, Los Angeles, CA",1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'off-street parking', 'rent period: monthly']"
1/9,"Available Now, Fitness Center, Pool, Parking Included",https://losangeles.craigslist.org/lac/apa/d/los-angeles-available-now-fitness/7575617455.html,"$3,230",2br,1214,"5015 Clinton St, Los Angeles, CA",2,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'carport', 'rent period: monthly']"
1/9,AS BIG AS A REAL HOUSE VICTORIAN STYLE 2BD 1BA APARTMENT HOME,https://losangeles.craigslist.org/lac/apa/d/los-angeles-as-big-as-real-house/7576812504.html,"$2,950",2br,1400,LOS ANGELES,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'detached garage', 'rent period: monthly']"
1/9,Central AC/Heat ^ Cozy Fireplace ^ 2 Bedroom Loft Style in Koreatown,https://losangeles.craigslist.org/lac/apa/d/los-angeles-central-ac-heat-cozy/7576812493.html,"$2,800",2br,840,Koreatown,2,"['EV charging', 'air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'off-street parking', 'rent period: monthly']"
1/9,Executive in West Los Angeles ^ Billiards Room ^ Gated Access,https://losangeles.craigslist.org/wst/apa/d/los-angeles-executive-in-west-los/7576812456.html,"$1,995",,475,West Los Angeles,1,"['air conditioning', 'apartment', 'laundry on site', 'off-street parking', 'rent period: monthly']"
1/9,2 Bedroom 2 BA Plus Den in Sherman Oaks | Gated Access | Gym | Pool,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-bedroom-ba-plus-den-in/7576812436.html,"$3,085",2br,1450,Sherman Oaks,2,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'off-street parking', 'rent period: monthly']"
1/9,Efficiency in Westside/West Los Angeles -BBQ/Picnic Area -Gated Access,https://losangeles.craigslist.org/wst/apa/d/los-angeles-efficiency-in-westside-west/7576812406.html,"$1,995",,350,OPEN HOUSE DAILY 10-5 | West Los Angeles,1,"['EV charging', 'air conditioning', 'cats are OK - purrr', 'apartment', 'laundry on site', 'detached garage', 'rent period: monthly']"
1/9,"Air Conditioner, Availability 24 Hours, On-Site Management",https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-air-conditioner/7575355306.html,"$1,950",,300,"4041 Arch Dr, Studio City, CA",1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'carport', 'rent period: monthly']"
1/9,Central Air/Heating | $500 OFF M/I | 1 Bedroom Suite in Century City,https://losangeles.craigslist.org/wst/apa/d/los-angeles-central-air-heating-500-off/7576812372.html,"$2,495",1br,600,West Los Angeles / Century City,1,"['EV charging', 'air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'detached garage', 'rent period: monthly']"
