date,title,link,price,bedroom,sqft,neighborhood,bathroom,amenities
1/18,EPIC REA -840 Sq ft Fresh Paint/New Flooring-2 bd/1ba Condo w/PKG,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-epic-rea-840-sq-ft-fresh/7579745847.html,"$3,300",2br,,potrero hill,1,"['application fee details: $45 - tenant screening & processing', 'cats are OK - purrr', 'dogs are OK - wooof', 'condo', 'laundry in bldg', 'no smoking', 'attached garage', 'rent period: monthly']"
1/18,Golden Gate Views,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-golden-gate-views/7579745842.html,"$3,500",2br,,russian hill,2,"['apartment', 'laundry in bldg', 'no smoking', 'carport', 'rent period: monthly']"
1/18,House-like condo with view and south-facing yard - Presidio Heights,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-house-like-condo-with/7579745822.html,"$16,500",3br,,laurel hts / presidio,3.5,"['cats are OK - purrr', 'dogs are OK - wooof', 'condo', 'w/d in unit', 'attached garage', 'rent period: monthly']"
1/18,SPACIOUS  MURAL APARTMENT IN HOT MISSION,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-mural-apartment/7579744401.html,"$4,350",4br,1650,Inner Mission,1.5,"['apartment', 'w/d in unit', 'street parking', 'rent period: monthly']"
1/18,EPIC REA - Bright/Beautiful 1 BD/1 BA with Parking and W/D Included,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-epic-rea-bright-beautiful/7573464462.html,"$2,295",1br,442,visitacion valley,1,"['application fee details: $45 Tenant Screening and application', 'duplex', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly']"
1/18,EpicREA - Fabulous Modern Large Studio/ with 1 bath with Views,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-epicrea-fabulous-modern/7570686750.html,"$2,300",0br,500,bayview,1,"['application fee details: $45 Tenant screening and application', 'apartment', 'laundry in bldg', 'no smoking', 'no parking', 'rent period: monthly']"
1/18,EpicREA-AzariPM-Fabulous View 1 BR + Den or Dining/1 BA -Arterra w/Pkg,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-epicrea-azaripm-fabulous/7570699519.html,"$3,850",1br,856,SOMA / south beach,1,"['application fee details: $45 - tenant screening & processing', 'condo', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly', 'wheelchair accessible']"
1/18,"EPIC REA_AZARI PM-UPDATED KITCHEN ,FLOOR ,BATHROOMS OF THIS COSY HOUSE",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-epic-reaazari-pm-updated/7571192781.html,"$4,250",3br,1200,excelsior / outer mission,2,"['application fee details: $45 - Tenant screening and application', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly', 'wheelchair accessible']"
1/18,"EPIC REA, INC - Fully Furnished Modern 2bd 1ba Multi-level Gated Townh",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-epic-rea-inc-fully/7573139234.html,"$4,195",2br,1000,SOMA / south beach,1,"['application fee details: $45 Tenant screening and application', 'dogs are OK - wooof', 'townhouse', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly']"
1/18,"EPIC REA, INC.-Spacious Top Floors Live/Work Loft w/PKG & Rooftop View",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-epic-rea-inc-spacious-top/7575806705.html,"$5,250",2br,,SOMA / south beach,2.5,"['application fee details: $45 Tenant screening and application', 'cats are OK - purrr', 'dogs are OK - wooof', 'condo', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly']"
1/18,"EPIC REA, INC - Fillmore District gated community 1BR/1BA Victorian",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-epic-rea-inc-fillmore/7578316683.html,"$3,250",1br,601,western addition,1,"['application fee details: $45 Tenant Screening and Application', 'condo', 'laundry on site', 'no smoking', 'no parking', 'rent period: monthly']"
1/18,"2 Bedroom Plus Sunroom, 2 Bath",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bedroom-plus-sunroom-bath/7579745288.html,"$4,000",3br,1500,richmond / seacliff,2,"['cats are OK - purrr', 'dogs are OK - wooof', 'flat', 'w/d in unit', 'attached garage', 'rent period: monthly']"
1/18,"Top floor, spacious, light filled apt",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-spacious-light/7579742562.html,"$5,500",2br,,alamo square / nopa,1,"['dogs are OK - wooof', 'apartment', 'w/d in unit', 'street parking', 'rent period: monthly']"
1/18,"Epic REA,INC - Spacious, Bright & Modern 1BD/ 1BA w/ City View",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-epic-reainc-spacious/7578318258.html,"$5,495",1br,,nob hill,1,"['application fee details: $45 Tenant Screening and application', 'condo', 'no laundry on site', 'no smoking', 'attached garage', 'rent period: monthly']"
1/18,"1 MONTH FREE on Affordable Studio at Ava Nob Hill, Check it out Today!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-month-free-on-affordable/7570305678.html,"$1,112",0br,371,nob hill,1,"['EV charging', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'detached garage', 'rent period: monthly', 'wheelchair accessible']"
1/18,Spacious two bed one bath,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-two-bed-one-bath/7576316282.html,"$2,550",2br,,lower nob hill,1,"['apartment', 'laundry in bldg', 'no smoking', 'no parking', 'rent period: monthly']"
1/18,or possible 2br Overlooking Golden Gate Park,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-or-possible-2br/7571194239.html,"$3,200",1br,1030,richmond / seacliff,1,"['apartment', 'laundry in bldg', 'no smoking', 'attached garage', 'rent period: monthly']"
1/18,1920's charm across from Golden Gate Park,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1920s-charm-across-from/7571194314.html,"$3,250",2br,870,richmond / seacliff,1,"['apartment', 'laundry in bldg', 'no smoking', 'attached garage', 'rent period: monthly']"
1/18,24th & Diamond charm,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-24th-diamond-charm/7571192316.html,"$2,750",1br,650,noe valley,1,"['apartment', 'w/d in unit', 'no smoking', 'no parking', 'rent period: monthly']"
1/18,1495 7th/Beautiful Studio/Gift card =2 Months Rent,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-th-beautiful-studio-gift/7579741886.html,"$2,495",0br,460,richmond / seacliff,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'attached garage', 'rent period: monthly']"
1/18,Laguna@Waller//Remodeled 1BR,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-lagunawaller-remodeled-1br/7579741837.html,"$2,895",1br,,hayes valley,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no parking', 'rent period: monthly']"
1/18,99 Lupine/Available Now/Pets Ok/Pay $0 Deposit,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-99-lupine-available-now/7579741795.html,"$2,995",1br,,laurel hts / presidio,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no parking', 'rent period: monthly']"
1/18,645 Stockton@California/Perfect Location/$0 Deposit Special,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-645-stocktoncalifornia/7579741754.html,"$2,995",1br,,nob hill,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no parking', 'rent period: monthly']"
1/18,520 Buchanan/Top Floor/W&D in Unit,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-520-buchanan-top-floor-wd/7579741705.html,"$2,895",1br,448,hayes valley,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no parking', 'rent period: monthly']"
1/18,Bernal Heights flat,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bernal-heights-flat/7573647776.html,"$4,700",3br,1200,bernal heights,2,"['apartment', 'w/d in unit', 'no smoking', 'off-street parking', 'rent period: monthly']"
1/18,"2 Bedroom Flat 2 full bath 1 car garage SF, CA",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bedroom-flat-full-bath/7579739390.html,"$3,499",2br,1200,hayes valley,2,"['dogs are OK - wooof', 'flat', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly']"
1/18,Beautiful Remodeled 1BR! *$0 Security Deposit - 1.5 Months Free*,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-remodeled-1br/7579740954.html,"$1,995",1br,,tenderloin,1,"['application fee details: $23 per applicant', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'no parking', 'rent period: monthly']"
1/18,Large 1bd/1ba in Desirable NOPA! Rentals In SF,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-1bd-1ba-in/7579740501.html,"$1,895",1br,,North of the Panhandle,1,"['apartment', 'no laundry on site', 'no parking', 'rent period: monthly']"
1/18,Elegant 3BD/1BA in the Prestigious Nob Hill - 4 Weeks Free,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-elegant-3bd-1ba-in-the/7579738398.html,"$5,695",3br,,nob hill,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'no parking', 'rent period: monthly']"
1/18,Beautiful 3BR/1BA top floor unit of house,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-3br-1ba-top/7577187483.html,"$3,950",3br,,richmond / seacliff,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'flat', 'laundry on site', 'no smoking', 'attached garage', 'rent period: monthly']"
