date,title,link,price,bedroom,sqft,neighborhood,bathroom,amenities
1/17,Check Out The Fastest Growing Development In Liberty Lake!,https://spokane.craigslist.org/apa/d/liberty-lake-check-out-the-fastest/7579535768.html,"$1,529",2br,1077,Liberty Lake,2,"['air conditioning', 'application fee details: app $60, admin $200, security deposit $300', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'detached garage', 'rent period: monthly']"
1/17,Rare Opening: Ground Floor With Attached Garage!,https://spokane.craigslist.org/apa/d/liberty-lake-rare-opening-ground-floor/7579534938.html,"$1,402",1br,817,,1,"['air conditioning', 'application fee details: app $60, admin $200, security deposit $300', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly']"
1/17,AMAZING PET FRIENDLY ONE BEDROOM!,https://spokane.craigslist.org/apa/d/spokane-amazing-pet-friendly-one-bedroom/7579533609.html,"$1,515",1br,922,Spokane Valley,1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
1/17,One Month FREE! Call Today To Learn More & Schedule A Tour!,https://spokane.craigslist.org/apa/d/liberty-lake-one-month-free-call-today/7579533492.html,"$1,530",2br,1025,Liberty Lake,2,"['air conditioning', 'application fee details: $60 application fee, $200 admin fee & $300 security deposit', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly']"
1/17,"Covered Parking, Carport, Cable Ready",https://spokane.craigslist.org/apa/d/veradale-covered-parking-carport-cable/7573261259.html,"$1,255",1br,727,"16102 East Broadway Avenue, Spokane Valley, WA",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/17,Luxury Studio Units in the Heart of Downtown,https://spokane.craigslist.org/apa/d/spokane-luxury-studio-units-in-the/7579530895.html,"$1,150",0br,383,spokane,1,"['EV charging', 'air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'off-street parking', 'rent period: monthly', 'wheelchair accessible']"
1/17,Special Offer: One Month Free for 18 Month Lease Term!,https://spokane.craigslist.org/apa/d/liberty-lake-special-offer-one-month/7579529865.html,"$1,492",2br,1077,Liberty Lake,2,"['air conditioning', 'application fee details: app $60, admin $200, security deposit $300', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'detached garage', 'rent period: monthly']"
1/17,Spacious Floorplans and Modern Amenities! Low prices!,https://spokane.craigslist.org/apa/d/spokane-spacious-floorplans-and-modern/7579529642.html,"$1,500",2br,1017,,1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'detached garage', 'rent period: monthly']"
1/17,Cozy single level 3 bedroom 2 bathroom home located on the South Hill,https://spokane.craigslist.org/apa/d/spokane-cozy-single-level-bedroom/7574555837.html,"$1,700",3br,1850,Rocklin,2,"['air conditioning', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly']"
1/17,"🚙🚎 CLOSE TO EVERYTHING, FAR FROM ORDINARY 🚎🚙",https://spokane.craigslist.org/apa/d/spokane-close-to-everything-far-from/7576551727.html,"$1,566",2br,1140,,2,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'no parking', 'rent period: monthly', 'wheelchair accessible']"
1/17,"Hardwood Laminate Floors, Close to Park, Hot Tub, Swimming Pool",https://spokane.craigslist.org/apa/d/veradale-hardwood-laminate-floors-close/7579527201.html,"$1,355",2br,1001,Spokane Valley,2,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'off-street parking', 'rent period: monthly', 'wheelchair accessible']"
1/17,Up to $500.00 off! Call us today!,https://spokane.craigslist.org/apa/d/spokane-up-to-off-call-us-today/7579527086.html,"$1,440",2br,857,Spokane Valley,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/17,"Cable Ready, Off The Leash Dog Park, Basketball Court",https://spokane.craigslist.org/apa/d/spokane-cable-ready-off-the-leash-dog/7579526956.html,"$1,402",1br,736,Spokane Valley,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'off-street parking', 'rent period: monthly', 'wheelchair accessible']"
1/17,"Dishwasher, Pet Friendly, Community Center, Private Balcony/Patio",https://spokane.craigslist.org/apa/d/spokane-dishwasher-pet-friendly/7579526485.html,"$1,345",2br,931,Spokane Valley,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'no parking', 'rent period: monthly']"
1/17,"Cable Ready, On-Site Maintenance, Smoke Free, Public Transportation",https://spokane.craigslist.org/apa/d/spokane-cable-ready-on-site-maintenance/7579525860.html,"$1,200",2br,740,Browne’s Addition,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'off-street parking', 'rent period: monthly', 'wheelchair accessible']"
1/17,🐘🎡🏘️ GIGANTIC FLOORPLANS! 🏘️🎡🐘,https://spokane.craigslist.org/apa/d/spokane-gigantic-floorplans/7579525159.html,"$1,446",2br,1025,"7024 North Colton Street, Spokane, WA",2,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'no parking', 'rent period: monthly', 'wheelchair accessible']"
1/17,"Private Patios with Large Storage Closets, 24-Hour Fitness Studio",https://spokane.craigslist.org/apa/d/spokane-private-patios-with-large/7579524016.html,"$1,254",1br,745,,1,"['EV charging', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'no parking', 'rent period: monthly']"
1/17,THE PERFECT ONE BEDROOM! AMAZING DEAL!,https://spokane.craigslist.org/apa/d/spokane-the-perfect-one-bedroom-amazing/7579523660.html,"$1,565",1br,917,Spokane Valley,1,"['air conditioning', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
1/17,"🌌Sparkling pool, Fitness center, Resident parking🌌",https://spokane.craigslist.org/apa/d/spokane-sparkling-pool-fitness-center/7576223417.html,"$1,276",1br,719,"2808 South Assembly Road, Spokane, WA",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'carport', 'rent period: monthly']"
1/17,🙊🐵 TAKE YOUR PICK OF THESE BEAUTIFUL 1BED 1BATH HOMES🐵🙊,https://spokane.craigslist.org/apa/d/spokane-take-your-pick-of-these/7579521962.html,"$1,276",1br,719,"2808 South Assembly Road, Spokane, WA",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'carport', 'rent period: monthly']"
1/17,Looking For A 2 Bedroom Home? Call And Ask About Our Availability!,https://spokane.craigslist.org/apa/d/veradale-looking-for-2-bedroom-home/7579519476.html,"$1,600",2br,978,Spokane Valley,1,"['open house dates', 'tuesday 2023-01-17', 'wednesday 2023-01-18', 'thursday 2023-01-19']"
1/17,Furnished Studio Apartment,https://spokane.craigslist.org/apa/d/greenacres-furnished-studio-apartment/7579519121.html,"$1,050",0br,,Spokane Valley,1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'furnished', 'apartment', 'laundry on site', 'no smoking', 'off-street parking', 'rent period: monthly']"
1/17,Only One Left- Make It Yours! Bottom Floor 3x2 w/ Attached Garage!,https://spokane.craigslist.org/apa/d/liberty-lake-only-one-left-make-it/7579518393.html,"$2,080",3br,1187,Liberty Lake,2,"['air conditioning', 'application fee details: $60 application fee, $200 admin fee & $300 security deposit', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly']"
1/17,Limited Time Offer Available For This Apartment Home!,https://spokane.craigslist.org/apa/d/liberty-lake-limited-time-offer/7579517202.html,"$1,750",3br,1187,Liberty Lake,2,"['air conditioning', 'application fee details: $60 application fee, $200 admin fee & $300 security deposit', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'detached garage', 'rent period: monthly']"
1/17,"You Want It, You've Got It- One Month FREE!",https://spokane.craigslist.org/apa/d/liberty-lake-you-want-it-youve-got-it/7579515472.html,"$1,735",3br,1187,Liberty Lake,2,"['air conditioning', 'application fee details: app $60, admin $200, security deposit $300', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly']"
1/17,Affordable Living: Why Aren't You Getting More Bang For Your Buck?,https://spokane.craigslist.org/apa/d/liberty-lake-affordable-living-why/7579514768.html,"$1,318",1br,817,Liberty Lake,1,"['air conditioning', 'application fee details: $60 application fee, $200 admin fee & $300 security deposit', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'detached garage', 'rent period: monthly']"
1/17,Brand New Opening & It Won't Be Available Long!,https://spokane.craigslist.org/apa/d/liberty-lake-brand-new-opening-it-wont/7579512316.html,"$1,315",1br,817,Liberty Lake,1,"['air conditioning', 'application fee details: app $60, admin $200, security deposit $300', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'detached garage', 'rent period: monthly']"
1/17,We Have Move-In Specials! Contact Us Today For Options!!,https://spokane.craigslist.org/apa/d/spokane-we-have-move-in-specials/7579505814.html,"$1,635",2br,1027,,2,"['open house dates', 'tuesday 2023-01-17', 'wednesday 2023-01-18', 'thursday 2023-01-19']"
