date,title,link,price,bedroom,sqft,neighborhood,bathroom,amenities
12/31,"Wood Floors, New Appliances!",https://austin.craigslist.org/apa/7573490224.html,"$1,373",1br,625,Pflugerville,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d hookups', 'off-street parking', 'rent period: monthly']"
12/31,Renovated Jollyville Area Apartments! Supplied W/D!,https://austin.craigslist.org/apa/7573490019.html,"$1,226",1br,506,Arboretum,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'off-street parking', 'rent period: monthly']"
12/31,"Exciting Area, Easy Commuting!",https://austin.craigslist.org/apa/7573489378.html,"$2,187",1br,750,South Central,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'off-street parking', 'rent period: monthly']"
12/31,Spacious One Bed with Supplied Washer and Dryer!,https://austin.craigslist.org/apa/7573487160.html,"$1,460",1br,737,360/ arboretum,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'off-street parking', 'rent period: monthly']"
12/31,"Gas Heating, Pass-Through Serving Bar, Washer/Dryer Connections",https://austin.craigslist.org/apa/7571000508.html,"$1,604",3br,1055,"2500 Louis Henna Boulevard, Round Rock, TX",2,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d hookups', 'no smoking', 'attached garage', 'rent period: monthly', 'wheelchair accessible']"
12/31,Spacious 2/2. Two Master Bedrooms- Great For Roommates!,https://austin.craigslist.org/apa/7573488833.html,"$1,812",2br,1126,North Austin,2,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d hookups', 'off-street parking', 'rent period: monthly']"
12/31,Far West LOFT! U.T. Shuttle! 700 sq.ft.!,https://austin.craigslist.org/apa/7573488718.html,"$1,167",1br,700,Far West,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'off-street parking', 'rent period: monthly']"
12/31,Tucked away!! Nice small Community/ Includes cable,https://austin.craigslist.org/apa/7573488585.html,"$1,256",1br,600,arboretum/jollyville,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d hookups', 'off-street parking', 'rent period: monthly']"
12/31,Enormous Walk-in Closets/ Attached Garage!!,https://austin.craigslist.org/apa/7573487519.html,"$1,965",2br,1124,Hwy 620/ West Austin,2,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'off-street parking', 'rent period: monthly']"
12/31,"Stunning Community, Close to Everything You Need!",https://austin.craigslist.org/apa/7573487033.html,"$1,375",2br,598,Leander,2,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'off-street parking', 'rent period: monthly']"
