date,title,link,price,bedroom,sqft,neighborhood,bathroom,amenities
1/9,Five minute walk to Quincy Center,https://boston.craigslist.org/sob/apa/d/quincy-five-minute-walk-to-quincy-center/7576745505.html,"$2,300",2br,900,Quincy,1,"['air conditioning', 'apartment', 'laundry in bldg', 'no smoking', 'off-street parking', 'rent period: monthly']"
1/9,~Stunning Student Friendly 3 Bed 1.5 Bath~  w/ In Unit Laundry!,https://boston.craigslist.org/gbs/apa/d/brighton-stunning-student-friendly-bed/7576744301.html,"$4,895",3br,,Brighton,1.5,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'street parking', 'rent period: monthly']"
1/9,SEPTEMBER - real live kitchen and private bathroom!,https://boston.craigslist.org/gbs/apa/d/boston-september-real-live-kitchen-and/7576737233.html,"$1,850",,,boston/cambridge/brookline,1,"['apartment', 'laundry in bldg', 'no parking', 'rent period: monthly']"
1/9,1 bedroom cottage,https://boston.craigslist.org/bmw/apa/d/natick-bedroom-cottage/7576736567.html,"$1,275",1br,325,metro west,1,"['cottage/cabin', 'no laundry on site', 'off-street parking', 'rent period: monthly']"
1/9,filled with bright natural light - SEPTEMBER,https://boston.craigslist.org/gbs/apa/d/boston-filled-with-bright-natural-light/7576734244.html,"$1,850",,,boston/cambridge/brookline,1,"['apartment', 'laundry in bldg', 'no parking', 'rent period: monthly']"
1/9,~STUNNING~  3 Bed 3 Bath - W/D in UNIT w Parking!  Student OK!,https://boston.craigslist.org/gbs/apa/d/brighton-stunning-bed-bath-d-in-unit/7576733629.html,"$3,900",3br,,Brighton,3,"['cats are OK - purrr', 'condo', 'w/d in unit', 'off-street parking', 'rent period: monthly']"
1/9,"2 bed $2,400 March 1st - NO FEE!",https://boston.craigslist.org/gbs/apa/d/watertown-bed-2400-march-1st-no-fee/7576733121.html,"$2,400",2br,1100,Watertown,1,"['apartment', 'laundry on site', 'no smoking', 'off-street parking', 'rent period: monthly']"
1/9,Large 4 bedroom/3 bathroom,https://boston.craigslist.org/nos/apa/d/winthrop-large-bedroom-bathroom/7576729374.html,"$4,500",4br,,Winthrop,3,"['apartment', 'laundry in bldg', 'off-street parking', 'rent period: monthly']"
1/9,APARTMENT FOR RENT,https://boston.craigslist.org/gbs/apa/d/brockton-apartment-for-rent/7576725536.html,"$1,500",1br,,"Brockton, MA",1,"['apartment', 'laundry in bldg', 'no smoking', 'off-street parking', 'rent period: monthly']"
1/9,➤ NO BROKER FEE!!! ➤ Cozy East Boston 1 Bedroom!,https://boston.craigslist.org/gbs/apa/d/east-boston-no-broker-fee-cozy-east/7576724949.html,"$2,600",1br,,East Boston,1,"['apartment', 'w/d in unit', 'street parking', 'rent period: monthly']"
1/9,Amazing 3Bed 3Bath~$4995.,https://boston.craigslist.org/gbs/apa/d/cambridge-amazing-3bed-3bath4995/7576721317.html,"$4,995",3br,,boston/cambridge/brookline,3,"['townhouse', 'w/d in unit', 'no smoking', 'street parking', 'rent period: monthly']"
1/9,***COLUMBIA RD SOUTH BOSTON PET FRIENDLY 3BED/1.5 BA-PARKING AVAIL!,https://boston.craigslist.org/gbs/apa/d/south-boston-columbia-rd-south-boston/7576717363.html,"$4,895",3br,1060,Boston,1.5,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'off-street parking', 'rent period: monthly']"
1/9,****NORTH END FLEET ST PENTHOUSE 4BED/3BED RENTAL APARTMENT!,https://boston.craigslist.org/gbs/apa/d/boston-north-end-fleet-st-penthouse/7576712719.html,"$7,000",4br,1780,Boston,3,"['air conditioning', 'cats are OK - purrr', 'apartment', 'w/d in unit', 'no smoking', 'street parking', 'rent period: monthly']"
1/9,Luxury 2-Bedroom Apartments - Pool - Walk to T - Avail. Now!,https://boston.craigslist.org/gbs/apa/d/belmont-luxury-bedroom-apartments-pool/7576711960.html,"$3,450",2br,1073,Belmont,2,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'off-street parking', 'rent period: monthly', 'wheelchair accessible']"
1/9,Luxury 1-Beds - Pool - Walk to T - Avail. Now!,https://boston.craigslist.org/gbs/apa/d/belmont-luxury-beds-pool-walk-to-avail/7576711674.html,"$2,650",1br,708,Belmont / Cambridge,1,"['apartment', 'w/d in unit', 'off-street parking', 'rent period: monthly']"
1/9,A Beautiful Apartment For Rent!,https://boston.craigslist.org/nos/apa/d/lynn-beautiful-apartment-for-rent/7576705989.html,"$3,200",3br,,Lynn,1,"['apartment', 'no laundry on site', 'no smoking', 'off-street parking', 'rent period: monthly']"
1/9,"RENOVATED, 3Br+2Ba, 1-Car Garage, FULL Amenities",https://boston.craigslist.org/gbs/apa/d/chelsea-renovated-3br2ba-car-garage/7576704891.html,"$2,850",3br,1450,"Chelsea, MA",2,"['condo', 'w/d in unit', 'no smoking', 'detached garage', 'rent period: monthly']"
1/9,****2/1/23 CHESTNUT HILL AVE-BRIGHTON PET-FRIENDLY 1BED RENTAL,https://boston.craigslist.org/gbs/apa/d/brighton-chestnut-hill-ave-brighton-pet/7576698547.html,"$2,250",1br,490,Brighton,1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'street parking', 'rent period: monthly']"
1/9,Unbeatable 2 bed in the heart of Cambridgeport,https://boston.craigslist.org/gbs/apa/d/cambridge-unbeatable-bed-in-the-heart/7576697689.html,"$3,900",2br,1100,Cambridge,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'street parking', 'rent period: monthly']"
1/9,Updated 2 bed townhouse,https://boston.craigslist.org/sob/apa/d/south-walpole-updated-bed-townhouse/7576694950.html,"$2,450",2br,1200,Dorchester,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'townhouse', 'w/d hookups', 'off-street parking', 'rent period: monthly']"
1/9,****3/31/23 HIGHLAND AVE SOMERVILLE STUDIO-HEAT & HOT WATER INCLUDED!,https://boston.craigslist.org/gbs/apa/d/somerville-highland-ave-somerville/7576693015.html,"$1,995",,405,Somerville,1,"['air conditioning', 'cats are OK - purrr', 'apartment', 'laundry in bldg', 'no smoking', 'street parking', 'rent period: monthly']"
1/9,Melrose Green St 2 Bed For 1-16-23 Prkng+Lndry+No Fee!!,https://boston.craigslist.org/nos/apa/d/melrose-melrose-green-st-bed-for/7576691481.html,"$1,850",2br,,north shore,1,"['cats are OK - purrr', 'apartment', 'laundry on site', 'off-street parking', 'rent period: monthly']"
1/9,3 units each 3 bedroom/1 bath available  2/1/23,https://boston.craigslist.org/gbs/apa/d/boston-units-each-bedroom-bath/7576689257.html,"$3,625",3br,,"Jamaica Plain, MA",1,"['cats are OK - purrr', 'apartment', 'laundry in bldg', 'no smoking', 'street parking', 'rent period: monthly']"
1/9,****CHESTNUT HILL BRIGHTON PET-FRIENDLY STUDIO! FEBRUARY 2023!,https://boston.craigslist.org/gbs/apa/d/brighton-chestnut-hill-brighton-pet/7576687109.html,"$2,200",,430,Boston,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'street parking', 'rent period: monthly']"
1/9,"✨STATE OF THE ART BOSTON LUXURY! GYM, POOL! ✨",https://boston.craigslist.org/gbs/apa/d/south-boston-state-of-the-art-boston/7576684463.html,"$2,300",,640,Boston Walk to Redline by South Boston,1,"['EV charging', 'air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly', 'wheelchair accessible']"
1/9,Beautiful 3BD/1BR apartment. In unit Laundry,https://boston.craigslist.org/gbs/apa/d/medford-beautiful-3bd-1br-apartment-in/7576682739.html,"$3,200",3br,1000,Somerville,1,"['apartment', 'w/d in unit', 'street parking', 'rent period: monthly']"
1/9,SEPTEMBER -  Studio with BALCONY - September,https://boston.craigslist.org/gbs/apa/d/allston-september-studio-with-balcony/7576678644.html,"$1,775",,,Allston,1,"['cats are OK - purrr', 'condo', 'laundry in bldg', 'street parking', 'rent period: monthly']"
1/9,"✨IMPRESSIVE FULL SERVICE 2BED/2BATH W/D, GYM, POOL, ✨",https://boston.craigslist.org/gbs/apa/d/malden-impressive-full-service-2bed/7576673665.html,"$2,967",2br,1000,North of Boston Walk to Subway,2,"['EV charging', 'broker fee details: $1000', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'off-street parking', 'rent period: monthly']"
1/9,1 Bedroom-Cheerful apartment on 2nd floor in 4 unit building,https://boston.craigslist.org/sob/apa/d/norwood-bedroom-cheerful-apartment-on/7576667868.html,"$1,150",1br,450,"NORWOOD, MA",1,"['apartment', 'no laundry on site', 'no smoking', 'off-street parking', 'rent period: monthly']"
1/9,"ENCHANTING 1BED, W/D, GYM, POOL, WALK TO TRAIN",https://boston.craigslist.org/gbs/apa/d/malden-enchanting-1bed-d-gym-pool-walk/7576666522.html,"$2,152",1br,681,North of Boston Walk to Subway,1,"['broker fee details: $500', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'off-street parking', 'rent period: monthly']"
1/9,REVERE DEAD END ROAD Near shopping/pub transp/hghwys/Logan,https://boston.craigslist.org/nos/apa/d/revere-revere-dead-end-road-near/7576665417.html,"$1,824",1br,700,Revere,1,"['apartment', 'laundry in bldg', 'off-street parking', 'rent period: monthly']"
1/9,2 Bedroom Apartment,https://boston.craigslist.org/nos/apa/d/malden-bedroom-apartment/7576662968.html,"$2,250",2br,,Malden,1,"['application fee details: $25 Application and Credit Report Fee', 'cats are OK - purrr', 'apartment', 'no laundry on site', 'off-street parking', 'rent period: monthly']"
1/9,Avail 2bdrms/with one bath/Cambridgeport/Central sq! $3200,https://boston.craigslist.org/gbs/apa/d/cambridge-avail-2bdrms-with-one-bath/7576308523.html,"$3,200",2br,,Cambridgeport,1,"['broker fee details: full fee', 'furnished', 'apartment', 'w/d in unit', 'no smoking', 'off-street parking', 'rent period: monthly']"
1/9,"Avail for 1/1/23, a 5 bdrm/5.5 bath 13 rms! hdwdfl/gas ht! Eat in st",https://boston.craigslist.org/gbs/apa/d/medford-avail-for-5-bdrm-55-bath-13-rms/7576319031.html,"$5,600",5br,,Medford,5.5,"['broker fee details: full fee', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'off-street parking', 'rent period: monthly']"
1/9,"$2,600 / 4br - 1st Floor Apartment",https://boston.craigslist.org/gbs/apa/d/brockton-br-1st-floor-apartment/7576652186.html,"$2,600",4br,1100,Brockton,1,"['apartment', 'no laundry on site', 'no smoking', 'street parking', 'rent period: monthly']"
1/9,Perfect Spot! Pool-Gym-Yoga! Pet Friendly! You'll Love Living Here!,https://boston.craigslist.org/gbs/apa/d/lynn-perfect-spot-pool-gym-yoga-pet/7576651034.html,"$2,225",1br,652,Lynn,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'off-street parking', 'rent period: monthly']"
1/9,"Charming 1 bdr, Harvard Sq., hw included, pet ok",https://boston.craigslist.org/gbs/apa/d/cambridge-charming-bdr-harvard-sq-hw/7576650735.html,"$2,050",1br,1050,Cambridge,1,"['broker fee details: 2050', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'listed by: Senné Residential', 'no smoking', 'street parking', 'rent period: monthly']"
1/9,**NO Fee** Quincy: 1 Bed w Kitchen Island & Laundry. Walk to Redline.,https://boston.craigslist.org/sob/apa/d/quincy-no-fee-quincy-bed-kitchen-island/7576648767.html,"$2,399",1br,750,Quincy Center,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'off-street parking', 'rent period: monthly']"
1/9,Granite Street Crossing - Affordable 3-Bedroom Townhouses,https://boston.craigslist.org/nos/apa/d/rockport-granite-street-crossing/7576646766.html,"$2,188",3br,1450,Rockport,1.5,"['air conditioning', 'apartment', 'w/d in unit', 'no smoking', 'off-street parking', 'rent period: monthly', 'wheelchair accessible']"
1/9,"FULL SERVICE 2BED/2BH W/D, GYM, LOUNGE, PET OK - WALK TO SOUTH STATION",https://boston.craigslist.org/gbs/apa/d/boston-full-service-2bed-2bh-d-gym/7576646646.html,"$3,731",2br,1050,Downtown Boston - Walk to South Station - NO BROKER FEE,2,"['EV charging', 'air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly']"
1/9,Granite Street Crossing - Affordable 2-Bedroom Apartments,https://boston.craigslist.org/nos/apa/d/rockport-granite-street-crossing/7576644625.html,"$1,893",2br,1070,Rockport,1,"['air conditioning', 'apartment', 'w/d in unit', 'no smoking', 'off-street parking', 'rent period: monthly', 'wheelchair accessible']"
1/9,Granite Street Crossing - Affordable Senior Studio Apartments,https://boston.craigslist.org/nos/apa/d/rockport-granite-street-crossing/7576641711.html,"$1,473",,358,"Rockport, MA",1,"['air conditioning', 'apartment', 'laundry in bldg', 'no smoking', 'off-street parking', 'rent period: monthly', 'wheelchair accessible']"
1/9,"Sunny Mod Style quiet street inc. Heat, HW+ Parking Spot.  Avail. NOW!",https://boston.craigslist.org/bmw/apa/d/newton-lower-falls-sunny-mod-style/7576639797.html,"$2,495",2br,,Newton - Lower Falls on Wellesey Line,1,"[""broker fee details: one month's rent"", 'cats are OK - purrr', 'apartment', 'laundry in bldg', 'listed by: Harvard Real Estate', 'off-street parking', 'rent period: monthly']"
1/9,Nice second floor in house: ALL UTILITIES INCLUDED!. Avail. Now.,https://boston.craigslist.org/gbs/apa/d/newton-nice-second-floor-in-house-all/7576639142.html,"$2,700",2br,1000,Newton Corner,1,"[""broker fee details: one month's rent"", 'cats are OK - purrr', 'apartment', 'laundry on site', 'listed by: Harvard Real Estate', 'off-street parking', 'rent period: monthly']"
1/9,"Modern Style nice corner: heat, hot water+park spot inc. Avail Now!",https://boston.craigslist.org/bmw/apa/d/auburndale-modern-style-nice-corner/7576638437.html,"$2,395",2br,775,Newton - Aburndale area,1,"[""broker fee details: one month's rent"", 'cats are OK - purrr', 'apartment', 'laundry in bldg', 'listed by: Harvard Real Estate', 'off-street parking', 'rent period: monthly']"
1/9,"Two Bedroom Apt. Includes Heat, Hot Water, and Electric",https://boston.craigslist.org/sob/apa/d/hanover-two-bedroom-apt-includes-heat/7576631126.html,"$1,950",2br,,Bridgewater,1,"['apartment', 'w/d hookups', 'off-street parking', 'rent period: monthly']"
1/9,Large apartment w/ new kitchen - near buses,https://boston.craigslist.org/gbs/apa/d/dorchester-large-apartment-new-kitchen/7576630085.html,$895,1br,,Dorchester,shared,"['apartment', 'no laundry on site', 'no smoking', 'street parking', 'rent period: monthly']"
