date,title,link,price,bedroom,sqft,neighborhood,bathroom,amenities
Jan 18,"24 Hour Emergency Maintenance, Hardwood Flooring, Newly Painted",https://pittsburgh.craigslist.org/apa/d/pittsburgh-24-hour-emergency/7575672675.html,$825,1br,375,"1144 Tennessee Ave - D10, Pittsburgh, PA",1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'off-street parking', 'rent period: monthly']"
Jan 18,"Free Parking, Pet Friendly (Pet Fees Apply), Online Payments accepted",https://pittsburgh.craigslist.org/apa/d/pittsburgh-free-parking-pet-friendly/7579314782.html,"$1,350",2br,860,"7 Dorchester Drive, Pittsburgh, PA",1,"['apartment', 'laundry in bldg', 'off-street parking', 'rent period: monthly']"
Jan 18,"Yoga Studio, Fully Equipped Kitchen, Stainless Steel Appliances - UC",https://pittsburgh.craigslist.org/apa/d/pittsburgh-yoga-studio-fully-equipped/7580061911.html,"$1,695",2br,1035,"7 Dorchester Drive, Pittsburgh, PA",1.5,"['apartment', 'laundry in bldg', 'off-street parking', 'rent period: monthly']"
Jan 18,Renovated Efficiency on bus line walk to shops,https://pittsburgh.craigslist.org/apa/d/pittsburgh-renovated-efficiency-on-bus/7570793813.html,$750,1br,,Carrick,1,"['air conditioning', 'apartment', 'laundry in bldg', 'street parking', 'rent period: monthly']"
Jan 18,2B  Apartment Walking Distance From Campus,https://pittsburgh.craigslist.org/apa/d/pittsburgh-2b-apartment-walking/7577844279.html,"$1,250",2br,570,"430 Atwood Street,  Pittsburgh, PA",1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'off-street parking', 'rent period: monthly']"
Jan 18,"ROSS 3 Bedroom On Calm Cul-de-Sac North Hills SD, AC",https://pittsburgh.craigslist.org/apa/d/pittsburgh-ross-bedroom-on-calm-cul-de/7580046562.html,"$1,250",3br,1150,ROSS TOWNSHIP,1.5,"['air conditioning', 'application fee details: $50', 'duplex', 'w/d hookups', 'no smoking', 'attached garage', 'rent period: monthly']"
Jan 18,house for rent,https://pittsburgh.craigslist.org/apa/d/west-mifflin-house-for-rent/7580044291.html,$900,2br,,Pittsburgh,1,"['open house dates', 'saturday 2023-01-21', 'sunday 2023-01-22', 'monday 2023-01-23']"
Jan 18,"Dog Park, 1 Bedroom Heart of Downtown!",https://pittsburgh.craigslist.org/apa/d/pittsburgh-dog-park-bedroom-heart-of/7571142284.html,"$1,660",1br,620,"625 Stanwix Street, Pittsburgh, PA",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'off-street parking', 'rent period: monthly']"
Jan 18,CALL TODAY TO SCHEDULE A TOUR!!,https://pittsburgh.craigslist.org/apa/d/coraopolis-call-today-to-schedule-tour/7577049168.html,"$1,495",2br,1050,"916 Beaver Grade Road, Coraopolis, PA",2,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'off-street parking', 'rent period: monthly']"
Jan 18,"2 BEDROOM APT $1,200",https://pittsburgh.craigslist.org/apa/d/pittsburgh-bedroom-apt-1200/7580034186.html,"$1,200",2br,1200,OAKLAND,1,"['furnished', 'duplex', 'no laundry on site', 'no smoking', 'street parking', 'rent period: monthly']"
Jan 18,"2 BEDROOM APT $1,200",https://pittsburgh.craigslist.org/apa/d/pittsburgh-bedroom-apt-1200/7580033958.html,"$1,200",2br,1200,OAKLAND,1,"['furnished', 'duplex', 'no laundry on site', 'no smoking', 'street parking', 'rent period: monthly']"
Jan 18,"Tile Backsplash, Updated Fitness Center, Resort Style Swimming Pool",https://pittsburgh.craigslist.org/apa/d/pittsburgh-tile-backsplash-updated/7579275268.html,"$1,255",1br,660,"7 Dorchester Drive, Pittsburgh, PA",1,"['apartment', 'laundry in bldg', 'off-street parking', 'rent period: monthly']"
Jan 18,"Walk to Campus, 24 Hour Emergency Maintenance, Front Porch",https://pittsburgh.craigslist.org/apa/d/pittsburgh-walk-to-campus-24-hour/7575197670.html,"$2,500",4br,500,"3604 Bates Street - 1,  Pittsburgh, PA",2,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'off-street parking', 'rent period: monthly']"
Jan 18,"Dog Park, Clubhouse & Resident Lounge, Balcony - UC",https://pittsburgh.craigslist.org/apa/d/pittsburgh-dog-park-clubhouse-resident/7580024769.html,"$1,350",2br,860,"7 Dorchester Drive, Pittsburgh, PA",1,"['apartment', 'laundry in bldg', 'off-street parking', 'rent period: monthly']"
Jan 18,"Dog Park, 2 Bedroom Panoramic Views!",https://pittsburgh.craigslist.org/apa/d/pittsburgh-dog-park-bedroom-panoramic/7580022771.html,"$2,380",2br,925,"625 Stanwix Street, Pittsburgh, PA",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'off-street parking', 'rent period: monthly']"
Jan 18,House for Rent Near CMU and Pitt,https://pittsburgh.craigslist.org/apa/d/pittsburgh-house-for-rent-near-cmu-and/7574712979.html,"$3,300",4br,1500,Pittsburgh,3.5,"['townhouse', 'w/d in unit', 'attached garage', 'rent period: monthly']"
Jan 18,"ROSS 3 Bedroom On Calm Cul-de-Sac North Hills SD, AC",https://pittsburgh.craigslist.org/apa/d/pittsburgh-ross-bedroom-on-calm-cul-de/7580021117.html,"$1,250",3br,1150,ROSS TOWNSHIP,1.5,"['air conditioning', 'application fee details: $50', 'duplex', 'w/d hookups', 'no smoking', 'attached garage', 'rent period: monthly']"
Jan 18,"ROSS 3 Bedroom On Calm Cul-de-Sac North Hills SD, AC",https://pittsburgh.craigslist.org/apa/d/pittsburgh-ross-bedroom-on-calm-cul-de/7580018116.html,"$1,250",3br,1150,ROSS TOWNSHIP,1.5,"['air conditioning', 'application fee details: $50', 'duplex', 'w/d hookups', 'no smoking', 'attached garage', 'rent period: monthly']"
Jan 18,"Dishwasher, Patio/Balcony, Large Closets",https://pittsburgh.craigslist.org/apa/d/pittsburgh-dishwasher-patio-balcony/7574879733.html,"$1,786",2br,1183,"300 Heinz Street, Pittsburgh, PA",2,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly', 'wheelchair accessible']"
Jan 18,"Lovely, Bright, 2BD 1BA Updated Apartment w/ Balcony",https://pittsburgh.craigslist.org/apa/d/pittsburgh-lovely-bright-2bd-1ba/7579997041.html,"$1,300",2br,,Brighton Heights,1,['wednesday 2023-01-25']
Jan 18,2BR 1BA WASHER/DRYER IN UNIT,https://pittsburgh.craigslist.org/apa/d/pittsburgh-2br-1ba-washer-dryer-in-unit/7580003141.html,"$1,200",2br,,CRAFTON,1,"['apartment', 'w/d in unit', 'no smoking', 'street parking', 'rent period: monthly']"
Jan 18,3B/2B Modern SS Home,https://pittsburgh.craigslist.org/apa/d/pittsburgh-3b-2b-modern-ss-home/7575642069.html,"$1,650",3br,950,"68 S. 16th Street, PA",2,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'off-street parking', 'rent period: monthly']"
Jan 18,Beautiful Space - Historic Building,https://pittsburgh.craigslist.org/apa/d/pittsburgh-beautiful-space-historic/7580005092.html,"$1,250",1br,0860,Highland Park,1,['wednesday 2023-01-18']
Jan 18,1/2 off Security Deposit💵,https://pittsburgh.craigslist.org/apa/d/pittsburgh-2-off-security-deposit/7575258615.html,$799,1br,,,1,"['application fee details: $35 Application Fee Per Person 18+', 'cats are OK - purrr', 'apartment', 'laundry in bldg', 'no smoking', 'off-street parking', 'rent period: monthly']"
Jan 18,1 and 2 Bedroom Unit Now Available!✨,https://pittsburgh.craigslist.org/apa/d/pittsburgh-and-bedroom-unit-now/7575254323.html,$799,1br,,,1,"['application fee details: $35 Application Fee Per Person 18+', 'cats are OK - purrr', 'apartment', 'laundry in bldg', 'no smoking', 'off-street parking', 'rent period: monthly']"
Jan 18,2 Bedroom for Rent!,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bedroom-for-rent/7575258286.html,$919,2br,,,1,"['application fee details: $35 Application Fee Per Person 18+', 'cats are OK - purrr', 'apartment', 'laundry in bldg', 'no smoking', 'off-street parking', 'rent period: monthly']"
Jan 18,Come Tour Your New Home!😁🏡,https://pittsburgh.craigslist.org/apa/d/pittsburgh-come-tour-your-new-home/7575258467.html,$799,1br,,Pittsburgh,1,"['air conditioning', 'application fee details: $35 Application Fee Per Person 18+', 'cats are OK - purrr', 'apartment', 'laundry in bldg', 'no smoking', 'off-street parking', 'rent period: monthly']"
