date,title,link,price,bedroom,sqft,neighborhood,bathroom,amenities
12/31,2 bdr. with awesome City view,https://sfbay.craigslist.org/sfc/apa/7573487609.html,"$3,985",2br,920,cole valley / ashbury hts,1,"['cats are OK - purrr', 'apartment', 'laundry in bldg', 'no smoking', 'street parking', 'rent period: monthly']"
12/31,"Skybox lounge, Valet parking, Reception lobby bar and café",https://sfbay.craigslist.org/sfc/apa/7565465402.html,"$3,961",1br,745,SOMA / south beach,1,"['EV charging', 'air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly', 'wheelchair accessible']"
12/31,Fourth-floor studio in Theater District,https://sfbay.craigslist.org/sfc/apa/7573485201.html,"$1,550",,300,lower nob hill,1,"['apartment', 'laundry in bldg', 'no smoking', 'no parking', 'rent period: monthly']"
12/31,"Skybox lounge, Public art plaza, Valet parking",https://sfbay.craigslist.org/sfc/apa/7567879622.html,"$7,435",3br,1146,SOMA / south beach,2,"['EV charging', 'air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly', 'wheelchair accessible']"
12/31,"Beautiful Landscaping, Microwave, Covered Parking",https://sfbay.craigslist.org/sfc/apa/7571564203.html,"$2,785",2br,1000,alamo square / nopa,1.5,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'carport', 'rent period: monthly']"
12/31,TOP FLOOR Remodeled 2-bedroom unit with Parking,https://sfbay.craigslist.org/sfc/apa/7564305873.html,"$2,675",2br,,inner richmond,1,"['cats are OK - purrr', 'apartment', 'laundry on site', 'carport', 'rent period: monthly']"
12/31,TOP FLOOR Remodeled 2-bedroom unit with Parking,https://sfbay.craigslist.org/sfc/apa/7564301680.html,"$2,675",2br,,richmond / seacliff,1,"['cats are OK - purrr', 'apartment', 'laundry in bldg', 'carport', 'rent period: monthly']"
12/31,"Public art plaza, Skybox lounge, EV & scooter charging stations",https://sfbay.craigslist.org/sfc/apa/7564902244.html,"$7,250",3br,1146,SOMA / south beach,2,"['EV charging', 'air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly', 'wheelchair accessible']"
12/31,Excellent location in one of the best blocks in Central Sunset,https://sfbay.craigslist.org/sfc/apa/7563685539.html,"$2,800",3br,,sunset / parkside,1,"['open house dates', 'saturday 2022-12-10', 'sunday 2022-12-11', 'saturday 2022-12-17']"
12/31,Excellent location in one of the best blocks in Central Sunset,https://sfbay.craigslist.org/sfc/apa/7566474440.html,"$2,800",3br,,sunset / parkside,1,"['open house dates', 'saturday 2022-12-10', 'sunday 2022-12-11', 'saturday 2022-12-17']"
12/31,Studio Apartment (Recently Remodeled),https://sfbay.craigslist.org/sfc/apa/7563680936.html,"$2,200",,400,sunset / parkside,1,"['duplex', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly']"
12/31,1Month free+ reduced deposit of  $250 When you Move in by 12/31/22,https://sfbay.craigslist.org/sfc/apa/7571160411.html,"$2,688",1br,590,lower nob hill,1,"['apartment', 'laundry on site', 'carport', 'rent period: monthly']"
12/31,Studio Apartment (Recently Remodeled),https://sfbay.craigslist.org/sfc/apa/7563682428.html,"$2,200",,400,sunset / parkside,1,"['duplex', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly']"
12/31,"Bike Storage & Repair, Public art plaza, Valet parking",https://sfbay.craigslist.org/sfc/apa/7568329878.html,"$4,995",2br,1130,SOMA / south beach,2,"['EV charging', 'air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly', 'wheelchair accessible']"
12/31,Awesome value! GREAT Location!,https://sfbay.craigslist.org/sfc/apa/7571565326.html,"$2,160",1br,650,alamo square / nopa,1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'carport', 'rent period: monthly']"
12/31,"Bike Storage & Repair, Public art plaza, Reception lobby bar and café",https://sfbay.craigslist.org/sfc/apa/7571909986.html,"$7,250",3br,1146,SOMA / south beach,2,"['EV charging', 'air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly', 'wheelchair accessible']"
12/31,Top floor - very bright! * Just fully remodeled!,https://sfbay.craigslist.org/sfc/apa/7573472424.html,"$1,750",,450,city of san francisco,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'condo', 'laundry on site', 'off-street parking', 'rent period: monthly']"
12/31,两房 Mission&Geneva/Balboa BART 租,https://sfbay.craigslist.org/sfc/apa/7570533113.html,"$2,000",2br,,excelsior / outer mission,1,"['in-law', 'laundry on site', 'street parking', 'rent period: monthly']"
