date,title,link,price,brs,sqft,hood,bath,amenities
Oct  1,"3D Virtual Tour - 2 BR, 2 BA Condo 966 Sq. Ft. - Parking Included",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-3d-virtual-tour-2-br-2-ba/7206621386.html,3850,2,966.0,Mission Bay,2Ba,"['condo', 'w/d in unit', 'attached garage']"
Oct  1,Beautiful house for rent,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-house-for-rent/7206621152.html,900,1,,portola district,0Ba,['house']
Oct  1,4 BEDROOM APARTMENT IN THE HAIGHT,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-4-bedroom-apartment-in/7200678650.html,4995,4,,haight ashbury,2Ba,"['apartment', 'w/d in unit', 'street parking']"
Oct  1,4 BEDROOM APARTMENT IN THE HAIGHT,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-4-bedroom-apartment-in/7200678582.html,4995,4,,haight ashbury,2Ba,"['apartment', 'w/d in unit', 'street parking']"
Oct  1,ENJOY GOLDEN GATE PARK EVERYDAY,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-enjoy-golden-gate-park/7202168870.html,2800,2,700.0,USF / panhandle,1Ba,"['apartment', 'laundry in bldg', 'no smoking', 'attached garage']"
Oct  1,"1 BR Condo @ Beacon: New Hardwood Flrs, Oracle Pk View incl. PARKING!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1-br-condo-beacon-new/7206620962.html,2795,1,750.0,SOMA / south beach,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'attached garage', 'wheelchair accessible']"
Oct  1,***Private bedroom available in NoPa home. Rent starts at [$$$$] / Month + $195 ,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-private-bedroom-available/7206582709.html,1,5,,,2Ba,['house']
Oct  1,TRANQUIL GARDEN UNIT NEAR GOLDEN GATE PARK,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tranquil-garden-unit-near/7203499009.html,2950,2,,inner richmond,1Ba,"['apartment', 'laundry in bldg', 'no smoking', 'attached garage']"
Oct  1,"SUNNY, REMODELED 1 BR, EXCELLENT LOCATION",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-sunny-remodeled-1-br/7190432625.html,3000,1,,lower haight,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'street parking']"
Oct  1,"3D Virtual Tour - 1 BR+Den, 1 BA Condo 732 Sq. Ft. - Parking Included",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-3d-virtual-tour-1-brden-1/7206620743.html,2995,1,732.0,Mission Bay,1Ba,"['condo', 'w/d in unit', 'attached garage']"
Oct  1,HOUSING AT 6TH AVE/CABRILLO NEAR GGP/USF,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-housing-at-6th-ave/7194955774.html,3100,2,,inner richmond,1Ba,"['apartment', 'laundry in bldg', 'no smoking', 'street parking']"
Oct  1,"Renovated 2bed/1bath Apartment, Laundry in Unit! Pet friendly!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-renovated-2bed-1bath/7206620403.html,2850,2,,mission district,1Ba,"['application fee details: $30 application fee', 'apartment', 'w/d in unit', 'no smoking', 'no parking']"
Oct  1,Marvelous Edwardian  yard W/D Muni+Bart  /Highway 101& 280,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-marvelous-edwardian-yard/7206589398.html,2400,1,1050.0,Glen Park,1Ba,"['flat', 'w/d in unit', 'no smoking', 'street parking']"
Oct  1,OUTER RICHMOND SPACIOUS FLAT at Anza/41st Ave.,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-outer-richmond-spacious/7194956366.html,3300,2,,richmond / seacliff,2Ba,"['flat', 'laundry in bldg', 'no smoking', 'street parking']"
Oct  1,"3D Virtual Tour - 1 BR, 2 BA Loft 1,162 Sq. Ft. - Parking",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-3d-virtual-tour-1-br-2-ba/7206620100.html,2950,1,1162.0,SOMA / south beach,2Ba,"['loft', 'w/d in unit', 'attached garage']"
Oct  1,Sprawling Urban Oasis | Heart of Noe/Eureka Valley | Newly Remodeled,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-sprawling-urban-oasis/7200245336.html,5595,3,1700.0,Eureka Valley,2Ba,"['application fee details: 40', 'dogs are OK - wooof', 'condo', 'w/d in unit', 'attached garage']"
Oct  1,Thoroughly Modern | Open Concept 2 Bedroom | Parking & W/D,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-thoroughly-modern-open/7197848403.html,2750,2,1000.0,South of Market,2Ba,"['dogs are OK - wooof', 'condo', 'w/d in unit', 'no smoking', 'attached garage', 'wheelchair accessible']"
Oct  1,Private Entrance and Access to Backyard,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-private-entrance-and/7196253325.html,2390,1,800.0,richmond / seacliff,1Ba,"['furnished', 'apartment', 'no smoking', 'street parking']"
