price,sqft,beds,bath,laundry,pets,housing_type,parking,hood_district
6800,1600.0,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,7.0
3500,550.0,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,7.0
5100,1300.0,2.0,1.0,(a) in-unit,(a) both,(c) multi,(d) no parking,7.0
9000,3500.0,3.0,2.5,(a) in-unit,(d) no pets,(c) multi,(b) protected,7.0
3100,561.0,1.0,1.0,(c) no laundry,(a) both,(c) multi,(d) no parking,7.0
3800,800.0,2.0,1.0,(b) on-site,(c) cats,(c) multi,(b) protected,9.0
3100,750.0,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,8.0
3000,650.0,1.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,7.0
3000,650.0,1.0,1.0,(b) on-site,(a) both,(c) multi,(b) protected,7.0
3200,650.0,1.0,1.0,(a) in-unit,(c) cats,(c) multi,(b) protected,9.0
3100,650.0,1.0,1.0,(b) on-site,(a) both,(c) multi,(b) protected,7.0
15000,3500.0,4.0,3.5,(a) in-unit,(d) no pets,(a) single,(b) protected,1.0
3300,1525.0,2.0,1.0,(b) on-site,(d) no pets,(a) single,(d) no parking,2.0
5600,1307.0,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
2345,500.0,1.0,1.0,(c) no laundry,(c) cats,(c) multi,(d) no parking,2.0
2700,850.0,2.0,1.0,(c) no laundry,(d) no pets,(c) multi,(b) protected,2.0
3700,800.0,1.0,1.0,(b) on-site,(a) both,(c) multi,(b) protected,7.0
3595,1205.0,3.0,2.0,(b) on-site,(d) no pets,(c) multi,(b) protected,1.0
4875,1708.0,2.0,3.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,9.0
5200,1417.0,2.0,1.5,(a) in-unit,(a) both,(c) multi,(b) protected,6.0
5200,1700.0,4.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,6.0
1880,350.0,0.0,1.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,9.0
4350,950.0,2.0,1.0,(a) in-unit,(c) cats,(c) multi,(b) protected,8.0
2500,700.0,1.0,1.0,(b) on-site,(a) both,(c) multi,(b) protected,2.0
3184,704.0,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2705,509.0,0.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
3581,922.0,2.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2610,694.0,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
4900,1600.0,3.0,2.5,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
4200,1500.0,3.0,2.0,(a) in-unit,(a) both,(c) multi,(d) no parking,9.0
3600,1100.0,2.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,6.0
4200,1400.0,3.0,2.0,(a) in-unit,(a) both,(c) multi,(d) no parking,9.0
4500,1400.0,3.0,1.0,(a) in-unit,(a) both,(c) multi,(d) no parking,9.0
4200,1400.0,3.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
